expected_class,drug_category_patterns,notes
topical_nasal_decongestants,Nasal Decongestant - Topical;Oxymetazoline;Iliadin;Xylometazoline,Alpha-adrenergic agonists applied locally to the nasal mucosa.
oral_sympathomimetic_decongestants,Decongestant - Systemic;Pseudoephedrine;Phenylephrine,Systemic alpha-adrenergic agonists for nasal congestion.
gi_prokinetic_motilin_agonists,Prokinetic - Motilin Agonist;Erythromycin (low dose),Low-dose macrolides used for their motilin-mimetic gastric emptying effects.
gi_prokinetic_5ht4_selective,Prokinetic - 5-HT4 Agonist;Prucalopride;Mosapride,Selective serotonin 5-HT4 receptor agonists for GI motility.
antacid_alginate_preparations,Antacid - Alginate;Gaviscon;Sodium Alginate,Raft-forming agents for gastro-oesophageal reflux.
antacid_magnesium_aluminum_hydroxide,Antacid - Al-Mg combination;Magesto;Antacil;Aluminum Hydroxide & Magnesium Hydroxide,Traditional aluminum and magnesium based neutralizing agents.
antiemetic_5ht3_antagonist_specific,Antiemetic - 5-HT3 Antagonist;Ondansetron;Granisetron;Palonosetron,Serotonin blockers specifically used for chemotherapy-induced or postoperative nausea.
ace_inhibitor_perindopril_group,Antihypertensive-ACE Inhibitor;Perindopril;Perindopril arginine;Perindopril erbumine,ACE inhibitor medications containing perindopril as the active moiety.
ace_inhibitor_ramipril_group,Antihypertensive-ACE Inhibitor;Ramipril,ACE inhibitor medications containing ramipril.
ace_inhibitor_enalapril_group,Antihypertensive-ACE Inhibitor;Enalapril;Enalapril maleate,ACE inhibitor medications containing enalapril.
ace_inhibitor_lisinopril_group,Antihypertensive-ACE Inhibitor;Lisinopril,ACE inhibitor medications containing lisinopril.
arb_losartan_potassium_type,Angiotensin II Receptor Antagonist;Losartan;Losartan potassium,Angiotensin receptor blocker medications specifically containing losartan.
arb_valsartan_type,Angiotensin II Receptor Antagonist;Valsartan,Angiotensin receptor blocker medications specifically containing valsartan.
arb_irbesartan_type,Angiotensin II Receptor Antagonist;Irbesartan,Angiotensin receptor blocker medications specifically containing irbesartan.
arb_candesartan_type,Angiotensin II Receptor Antagonist;Candesartan;Candesartan cilexetil,Angiotensin receptor blocker medications specifically containing candesartan.
arb_telmisartan_type,Angiotensin II Receptor Antagonist;Telmisartan,Angiotensin receptor blocker medications specifically containing telmisartan.
arb_olmesartan_type,Angiotensin II Receptor Antagonist;Olmesartan;Olmesartan medoxomil,Angiotensin receptor blocker medications specifically containing olmesartan.
beta_blocker_bisoprolol_type,Beta-Adrenoceptor Blocker;Bisoprolol;Bisoprolol fumarate,Cardioselective beta-blocker specifically containing bisoprolol.
beta_blocker_metoprolol_type,Beta-Adrenoceptor Blocker;Metoprolol;Metoprolol tartrate;Metoprolol succinate,Cardioselective beta-blocker specifically containing metoprolol.
beta_blocker_carvedilol_type,Beta-Adrenoceptor Blocker;Carvedilol,Non-selective beta-blocker with alpha-blocking activity containing carvedilol.
beta_blocker_nebivolol_type,Beta-Adrenoceptor Blocker;Nebivolol;Nebivolol hydrochloride,Third-generation beta-blocker with vasodilating properties containing nebivolol.
beta_blocker_acebutolol_type,Beta-Adrenoceptor Blocker;Acebutolol,Beta-blocker with intrinsic sympathomimetic activity containing acebutolol.
beta_blocker_sotalol_type,Beta-Adrenoceptor Blocker;Sotalol;Sotalol hydrochloride,Non-selective beta-blocker with Class III antiarrhythmic properties.
ccb_lercanidipine_type,Calcium Channel Blocker;Lercanidipine;Lercanidipine hydrochloride,Dihydropyridine calcium channel blocker containing lercanidipine.
ccb_manidipine_type,Calcium Channel Blocker;Manidipine;Manidipine hydrochloride,Dihydropyridine calcium channel blocker containing manidipine.
ccb_nicardipine_type,Calcium Channel Blocker;Nicardipine;Nicardipine hydrochloride,Dihydropyridine calcium channel blocker often used parenterally.
ccb_isradipine_type,Calcium Channel Blocker;Isradipine,Dihydropyridine calcium channel blocker containing isradipine.
loop_diuretics_furosemide_type,Loop Diuretic;Furosemide,High-ceiling diuretic specifically containing furosemide.
loop_diuretics_torsemide_type,Loop Diuretic;Torsemide;Torasemide,Loop diuretic with longer half-life containing torsemide.
thiazide_hydrochlorothiazide_type,Thiazide Diuretic;Hydrochlorothiazide,Short-acting thiazide diuretic containing hydrochlorothiazide.
thiazide_indapamide_type,Thiazide-like Diuretic;Indapamide,Long-acting thiazide-like diuretic containing indapamide.
thiazide_chlorthalidone_type,Thiazide-like Diuretic;Chlorthalidone,Potent long-acting thiazide-like diuretic containing chlorthalidone.
statin_atorvastatin_type,HMG-CoA Reductase Inhibitor;Atorvastatin;Atorvastatin calcium,High-potency lipophilic statin containing atorvastatin.
statin_rosuvastatin_type,HMG-CoA Reductase Inhibitor;Rosuvastatin;Rosuvastatin calcium,High-potency hydrophilic statin containing rosuvastatin.
statin_simvastatin_type,HMG-CoA Reductase Inhibitor;Simvastatin,Lipophilic statin pro-drug containing simvastatin.
statin_pravastatin_type,HMG-CoA Reductase Inhibitor;Pravastatin;Pravastatin sodium,Hydrophilic statin not metabolized by CYP3A4.
antiplatelet_clopidogrel_type,Platelet Aggregation Inhibitor;Clopidogrel;Clopidogrel bisulfate,Thienopyridine P2Y12 inhibitor containing clopidogrel.
penicillins_amoxicillin_clavulanate_combinations,Amoxicillin and enzyme inhibitor;Amoxicillin-Clavulanic Acid,Potentiated aminopenicillin combinations for oral or parenteral use.
penicillins_ampicillin_sulbactam_combinations,Ampicillin and enzyme inhibitor;Ampicillin-Sulbactam,Beta-lactamase inhibitor combination typically used parenterally.
penicillins_piperacillin_tazobactam_combinations,Piperacillin and enzyme inhibitor;Piperacillin-Tazobactam,Antipseudomonal penicillin combined with a beta-lactamase inhibitor.
penicillins_phenoxymethylpenicillin_v,Penicillin V;Phenoxymethylpenicillin,Acid-stable oral natural penicillin.
penicillins_cloxacillin_preparations,Cloxacillin;Penicillins: Isoxazolyl,Antistaphylococcal isoxazolyl penicillin for systemic use.
cephalosporins_ceftriaxone_parenteral_agents,Ceftriaxone;3rd Generation Cephalosporin,Long-acting injectable third-generation cephalosporin.
cephalosporins_cefotaxime_parenteral_agents,Cefotaxime;3rd Generation Cephalosporin,Injectable third-generation cephalosporin for systemic infections.
cephalosporins_ceftazidime_pseudomonal_agents,Ceftazidime;Cephalosporins: 3rd Generation,Injectable third-generation cephalosporin with antipseudomonal activity.
cephalosporins_cefuroxime_axetil_preparations,Cefuroxime;Cefuroxime axetil,Second-generation cephalosporin available in oral prodrug form.
cephalosporins_cefazolin_parenteral_agents,Cefazolin;Cephalosporins: 1st Generation,Commonly used parenteral first-generation cephalosporin.
cephalosporins_cefixime_oral_agents,Cefixime;Cephalosporins: 3rd Generation,Oral third-generation cephalosporin for community-acquired infections.
macrolides_clarithromycin_macrolide_agents,Clarithromycin;Macrolides,Advanced macrolide with enhanced activity against gram-positive organisms.
macrolides_roxithromycin_macrolide_agents,Roxithromycin;Macrolides,Semi-synthetic macrolide with improved pharmacokinetic properties.
macrolides_spiramycin_macrolide_agents,Spiramycin;Macrolides,Macrolide often indicated for toxoplasmosis and dental infections.
fluoroquinolones_levofloxacin_systemic,Levofloxacin;Quinolones,Respiratory fluoroquinolone with broad-spectrum activity.
fluoroquinolones_moxifloxacin_systemic,Moxifloxacin;Quinolones,Fourth-generation fluoroquinolone with anaerobic activity.
fluoroquinolones_ofloxacin_systemic,Ofloxacin;Quinolones,Second-generation fluoroquinolone for systemic use.
antifungals_itraconazole_triazole_agents,Itraconazole;Triazoles,Systemic triazole antifungal for various mycoses.
antifungals_voriconazole_triazole_agents,Voriconazole;Triazoles,Second-generation triazole used for invasive aspergillosis.
antifungals_caspofungin_echinocandin_agents,Caspofungin;Echinocandins,Echinocandin antifungal inhibiting beta-glucan synthesis.
antifungals_micafungin_echinocandin_agents,Micafungin;Echinocandins,Systemic echinocandin for candidemia and prophylaxis.
antifungals_terbinafine_oral_agents,Terbinafine;Allylamines,Oral allylamine antifungal for onychomycosis.
antivirals_valacyclovir_preparations,Valacyclovir;Antivirals: Herpes,Prodrug of acyclovir for herpes infections.
antivirals_famciclovir_preparations,Famciclovir;Antivirals: Herpes,Oral prodrug of penciclovir used for herpes zoster.
antivirals_oseltamivir_capsules,Oseltamivir;Antivirals: Influenza,Oral neuraminidase inhibitor for influenza treatment.
antivirals_tenofovir_alafenamide_hbv_agents,Tenofovir alafenamide;Nucleotide Analogue,Nucleotide analogue with high plasma stability for HBV.
antivirals_entecavir_hbv_agents,Entecavir;Nucleoside Analogue,Guanosine nucleoside analogue for chronic HBV.
antivirals_dolutegravir_integrase_inhibitors,Dolutegravir;Integrase Inhibitors,High-potency HIV integrase strand transfer inhibitor.
antivirals_ritonavir_hiv_protease_inhibitors,Ritonavir;Protease Inhibitors,Protease inhibitor primarily used as a pharmacokinetic booster.
antivirals_remdesivir_covid_agents,Remdesivir;Antivirals: RNA Polymerase Inhibitors,Direct-acting antiviral for severe SARS-CoV-2 infection.
ssri_citalopram_agents,Citalopram;Selective serotonin reuptake inhibitors,Specific mapping for citalopram within the SSRI class
ssri_escitalopram_agents,Escitalopram;Selective serotonin reuptake inhibitors,Specific mapping for escitalopram within the SSRI class
snri_desvenlafaxine_agents,Desvenlafaxine;Serotonin-norepinephrine reuptake inhibitors,Mapping for desvenlafaxine under the SNRI therapeutic group
snri_milnacipran_agents,Milnacipran;Serotonin-norepinephrine reuptake inhibitors,Mapping for milnacipran under the SNRI therapeutic group
tca_amitriptyline_agents,Amitriptyline;Tricyclic antidepressants,Primary mapping for amitriptyline in the TCA class
tca_imipramine_agents,Imipramine;Tricyclic antidepressants,Primary mapping for imipramine in the TCA class
tca_nortriptyline_agents,Nortriptyline;Tricyclic antidepressants,Primary mapping for nortriptyline in the TCA class
tca_clomipramine_agents,Clomipramine;Tricyclic antidepressants,Primary mapping for clomipramine in the TCA class
antipsychotics_risperidone_agents,Risperidone;Atypical antipsychotics,Second-generation antipsychotic mapping for risperidone
antipsychotics_olanzapine_agents,Olanzapine;Atypical antipsychotics,Second-generation antipsychotic mapping for olanzapine
antipsychotics_quetiapine_agents,Quetiapine;Atypical antipsychotics,Second-generation antipsychotic mapping for quetiapine
antipsychotics_aripiprazole_agents,Aripiprazole;Atypical antipsychotics,Third-generation antipsychotic mapping for aripiprazole
antipsychotics_clozapine_agents,Clozapine;Atypical antipsychotics,Mapping for clozapine under atypical antipsychotics
antipsychotics_haloperidol_agents,Haloperidol;Typical antipsychotics,First-generation antipsychotic mapping for haloperidol
antipsychotics_ziprasidone_agents,Ziprasidone;Atypical antipsychotics,Atypical antipsychotic mapping for ziprasidone
benzodiazepines_diazepam_agents,Diazepam;Anxiolytics;Benzodiazepine derivatives,Specific mapping for diazepam agents
benzodiazepines_lorazepam_agents,Lorazepam;Anxiolytics;Benzodiazepine derivatives,Specific mapping for lorazepam agents
benzodiazepines_alprazolam_agents,Alprazolam;Anxiolytics;Benzodiazepine derivatives,Specific mapping for alprazolam agents
benzodiazepines_clonazepam_agents,Clonazepam;Antiepileptics;Benzodiazepine derivatives,Specific mapping for clonazepam agents
benzodiazepines_midazolam_agents,Midazolam;Hypnotics and sedatives;Benzodiazepine derivatives,Specific mapping for midazolam agents
anticonvulsants_valproate_agents,Valproic acid;Sodium valproate;Antiepileptics,Broad mapping for valproate derivatives
anticonvulsants_carbamazepine_agents,Carbamazepine;Antiepileptics;Carboxamide derivatives,Specific mapping for carbamazepine agents
anticonvulsants_phenytoin_agents,Phenytoin;Antiepileptics;Hydantoin derivatives,Specific mapping for phenytoin agents
anticonvulsants_gabapentin_agents,Gabapentin;Antiepileptics;Other antiepileptics,Specific mapping for gabapentin under CNS agents
anticonvulsants_pregabalin_agents,Pregabalin;Antiepileptics;Other antiepileptics,Specific mapping for pregabalin under CNS agents
opioids_oxycodone_agents,Oxycodone;Opioids;Natural opium alkaloids,Semisynthetic opioid mapping for oxycodone
opioids_hydromorphone_agents,Hydromorphone;Opioids;Natural opium alkaloids,Semisynthetic opioid mapping for hydromorphone
opioids_buprenorphine_agents,Buprenorphine;Opioids;Oripavine derivatives,Mixed agonist-antagonist opioid mapping for buprenorphine
opioids_tapentadol_agents,Tapentadol;Opioids;Other opioids,Dual mechanism opioid mapping for tapentadol
opioids_hydrocodone_agents,Hydrocodone;Opioids;Natural opium alkaloids,Opioid analgesic mapping for hydrocodone
metformin_liquid_formulations,Metformin Oral Solution;Biguanides,Metformin in liquid solution form
metformin_powder_sachets,Metformin Powder;Biguanides,Metformin available in sachet/powder form
insulins_u500_concentrated,"Insulin Human Regular, Concentrated;U-500 Insulin",Highly concentrated regular human insulin
insulins_u200_concentrated,"Insulin Analogue, Concentrated;U-200 Insulin",Concentrated insulin analogues like lispro or degludec U-200
insulins_u300_concentrated,"Insulin Glargine, Concentrated;U-300 Insulin",Concentrated insulin glargine U-300
glipizide_xl_formulations,Glipizide Extended Release;Sulfonylureas;Glipizide GITS,Extended or controlled release glipizide
gliclazide_mr_formulations,Gliclazide Modified Release;Sulfonylureas,Modified release gliclazide preparations
gliclazide_specific_agents,Gliclazide;Sulfonylureas,Specific mapping for second generation gliclazide
tolbutamide_specific_agents,Tolbutamide;Sulfonylureas,First generation sulfonylurea mapping
chlorpropamide_specific_agents,Chlorpropamide;Sulfonylureas,Long-acting first generation sulfonylurea
teneligliptin_specific_agents,Teneligliptin;DPP-4 Inhibitors,DPP-4 inhibitor mapping for teneligliptin
gemigliptin_specific_agents,Gemigliptin;DPP-4 Inhibitors,DPP-4 inhibitor mapping for gemigliptin
anagliptin_specific_agents,Anagliptin;DPP-4 Inhibitors,DPP-4 inhibitor mapping for anagliptin
trelagliptin_weekly_dpp4i,Trelagliptin;DPP-4 Inhibitors,Once-weekly DPP-4 inhibitor agent
omarigliptin_weekly_dpp4i,Omarigliptin;DPP-4 Inhibitors,Once-weekly DPP-4 inhibitor agent
ipragliflozin_specific_agents,Ipragliflozin;SGLT2 Inhibitors,SGLT2 inhibitor mapping for ipragliflozin
luseogliflozin_specific_agents,Luseogliflozin;SGLT2 Inhibitors,SGLT2 inhibitor mapping for luseogliflozin
tofogliflozin_specific_agents,Tofogliflozin;SGLT2 Inhibitors,SGLT2 inhibitor mapping for tofogliflozin
sotagliflozin_dual_sglt1_2,Sotagliflozin;SGLT Inhibitors,Dual SGLT1 and SGLT2 inhibitor
bexagliflozin_specific_agents,Bexagliflozin;SGLT2 Inhibitors,SGLT2 inhibitor mapping for bexagliflozin
thyroid_dessicated_porcine,"Thyroid, Dessicated;Thyroid Hormones;Armour Thyroid",Natural porcine-derived thyroid extract
levothyroxine_liquid_solutions,Levothyroxine Oral Solution;Thyroid Hormones,Levothyroxine in liquid formulation
levothyroxine_soft_gel_capsules,Levothyroxine Softgel;Thyroid Hormones,Soft gel capsule formulation of levothyroxine
liothyronine_injectable_preparations,Liothyronine Injection;Thyroid Hormones,Injectable T3 thyroid hormone
propylthiouracil_compounded_suspension,Propylthiouracil Suspension;Antithyroid Agents,Liquid/suspension form of propylthiouracil
metformin_fortamet_brand_type,Metformin Osmotic-Release;Biguanides,Specific osmotic-release metformin formulation
metformin_glumetza_brand_type,Metformin Gastric-Retentive;Biguanides,Specific gastric-retentive metformin formulation
insulin_lispro_aabc_ultra_rapid,Insulin Lispro-aabc;Ultra-Rapid Acting Insulin;Lyumjev,Ultra-rapid acting insulin lispro formulation
insulin_aspart_fiasp_ultra_rapid,Insulin Aspart Fast-Acting;Ultra-Rapid Acting Insulin;Fiasp,Ultra-rapid acting insulin aspart formulation
evogliptin_specific_agents,Evogliptin;DPP-4 Inhibitors,DPP-4 inhibitor mapping for evogliptin
dexlansoprazole_specific_agents,Dexlansoprazole;Proton Pump Inhibitors;PPI,dexlansoprazole isomer PPI
ilaprazole_specific_agents,Ilaprazole;Proton Pump Inhibitors;PPI,newer generation PPI
vonoprazan_p_cab_agents,Vonoprazan;Potassium-Competitive Acid Blockers;P-CAB,P-CAB for acid-related disorders
tegoprazan_p_cab_agents,Tegoprazan;Potassium-Competitive Acid Blockers;P-CAB,P-CAB used in GI disorders
aprepitant_nk1_antagonists,Aprepitant;NK1 Receptor Antagonist,substance P/NK1 receptor antagonist
fosaprepitant_nk1_antagonists,Fosaprepitant;NK1 Receptor Antagonist;Antiemetics,intravenous NK1 receptor antagonist
netupitant_nk1_antagonists,Netupitant;NK1 Receptor Antagonist;Antiemetics,NK1 antagonist for chemotherapy-induced nausea
rolapitant_nk1_antagonists,Rolapitant;NK1 Receptor Antagonist;Antiemetics,long-acting NK1 receptor antagonist
palonosetron_5ht3_antagonists,Palonosetron;5-HT3 Antagonist;Antiemetics,second-generation 5-HT3 antagonist
dolasetron_5ht3_antagonists,Dolasetron;5-HT3 Antagonist;Antiemetics,5-HT3 receptor antagonist for emesis
granisetron_5ht3_antagonists,Granisetron;5-HT3 Antagonist;Antiemetics,selective 5-HT3 receptor antagonist
tiotropium_lama_agents,Tiotropium;Long-Acting Muscarinic Antagonist;LAMA,long-acting anticholinergic for COPD
umeclidinium_lama_agents,Umeclidinium;Long-Acting Muscarinic Antagonist;LAMA,LAMA for maintenance treatment of COPD
aclidinium_lama_agents,Aclidinium;Long-Acting Muscarinic Antagonist;LAMA,long-acting muscarinic antagonist for airway disease
glycopyrronium_lama_agents,Glycopyrronium;Long-Acting Muscarinic Antagonist;LAMA,inhaled LAMA for respiratory therapy
indacaterol_laba_agents,Indacaterol;Long-Acting Beta-2 Agonists;LABA,ultra-long-acting beta2-agonist
olodaterol_laba_agents,Olodaterol;Long-Acting Beta-2 Agonists;LABA,once-daily inhaled LABA
vilanterol_laba_agents,Vilanterol;Long-Acting Beta-2 Agonists;LABA,LABA used in combination inhalers
formoterol_laba_agents,Formoterol;Long-Acting Beta-2 Agonists;LABA,rapid-onset long-acting beta2-agonist
salmeterol_laba_agents,Salmeterol;Long-Acting Beta-2 Agonists;LABA,long-acting beta2-adrenergic agonist
flunisolide_ics_preparations,Flunisolide;Inhaled Corticosteroids;ICS,inhaled glucocorticoid for asthma
triamcinolone_acetonide_inhaled,Triamcinolone Acetonide Inhalation;Inhaled Corticosteroids;ICS,inhaled form of triamcinolone for respiratory use
budesonide_nebulae_specific,Budesonide Respiration Solution;Budesonide Nebulae;Budesonide Inhalation Suspension,liquid budesonide for nebulization
fluticasone_propionate_respules,Fluticasone Propionate Nebule;Fluticasone Respules,nebulized fluticasone propionate
bilastine_antihistamines,Bilastine;H1 Antihistamine;Antihistamines,non-sedating H1 receptor antagonist
rupatadine_antihistamines,Rupatadine;H1 Antihistamine;Antihistamines,antihistamine with PAF antagonist activity
ebastine_antihistamines,Ebastine;H1 Antihistamine;Antihistamines,second-generation H1 blocker
levocetirizine_antihistamines,Levocetirizine;H1 Antihistamine;Antihistamines,R-enantiomer of cetirizine
desloratadine_antihistamines,Desloratadine;H1 Antihistamine;Antihistamines,active metabolite of loratadine
fexofenadine_antihistamines,Fexofenadine;H1 Antihistamine;Antihistamines,active metabolite of terfenadine
ace_inhibitor_benazepril_type,Benazepril;ACE Inhibitor;Antihypertensive-ACE Inhibitor,Benazepril specific ACE inhibitor class
ace_inhibitor_fosinopril_type,Fosinopril;ACE Inhibitor;Antihypertensive-ACE Inhibitor,Fosinopril specific phosphonate-containing ACE inhibitor
ace_inhibitor_quinapril_type,Quinapril;ACE Inhibitor;Antihypertensive-ACE Inhibitor,Quinapril specific dicarboxylate ACE inhibitor
ace_inhibitor_trandolapril_type,Trandolapril;ACE Inhibitor;Antihypertensive-ACE Inhibitor,Trandolapril specific long-acting ACE inhibitor
ace_inhibitor_moexipril_type,Moexipril;ACE Inhibitor;Antihypertensive-ACE Inhibitor,Moexipril specific oral ACE inhibitor
arb_eprosartan_type,Eprosartan;Angiotensin II Receptor Antagonist;ARB,Eprosartan non-biphenyl non-tetrazole ARB
arb_azilsartan_type,Azilsartan;Angiotensin II Receptor Antagonist;ARB,Azilsartan specific angiotensin receptor blocker
arb_medoxomil_derivatives,Olmesartan medoxomil;Azilsartan medoxomil,Medoxomil prodrug versions of ARBs
beta_blocker_nadolol_type,Nadolol;Beta-Blocker;Beta-Adrenergic Blocker,Nadolol specific non-selective beta blocker
beta_blocker_pindolol_type,Pindolol;Beta-Blocker;Beta-Adrenergic Blocker,Pindolol specific beta blocker with ISA
beta_blocker_penbutolol_type,Penbutolol;Beta-Blocker;Beta-Adrenergic Blocker,Penbutolol specific beta-adrenoceptor antagonist
beta_blocker_betaxolol_type,Betaxolol;Beta-Blocker;Beta-Adrenergic Blocker,Betaxolol specific cardioselective beta-1 blocker
beta_blocker_carteolol_type,Carteolol;Beta-Blocker;Beta-Adrenergic Blocker,Carteolol specific non-selective beta antagonist
ccb_nimodipine_type,Nimodipine;Calcium Channel Blocker;Dihydropyridine,Nimodipine cerebrovascular selective CCB
ccb_nisoldipine_type,Nisoldipine;Calcium Channel Blocker;Dihydropyridine,Nisoldipine specific dihydropyridine CCB
ccb_clevidipine_parenteral,Clevidipine;Calcium Channel Blocker;Intravenous Dihydropyridine,Clevidipine intravenous dihydropyridine for hypertension
ccb_bepridil_type,Bepridil;Calcium Channel Blocker;Non-selective CCB,Bepridil non-selective calcium channel blocker
thiazide_methyclothiazide_type,Methyclothiazide;Thiazide Diuretic;Benzothiadiazide,Methyclothiazide benzothiadiazide diuretic
thiazide_polythiazide_type,Polythiazide;Thiazide Diuretic;Diuretics,Polythiazide thiazide diuretic agent
diuretic_ethacrynic_acid_type,Ethacrynic acid;Loop Diuretic;Phenoxyacetic acid derivative,Ethacrynic acid phenoxyacetic loop diuretic
diuretic_bumetanide_type,Bumetanide;Loop Diuretic;Sulfamoylbenzoic acid,Bumetanide sulfamoylbenzoic loop diuretic
diuretic_metolazone_type,Metolazone;Thiazide-like Diuretic;Quinazoline,Metolazone quinazoline thiazide-like diuretic
diuretic_amiloride_combinations,Amiloride and Hydrochlorothiazide;Amiloride with diuretics,Fixed dose potassium-sparing combinations with amiloride
diuretic_triamterene_combinations,Triamterene and Hydrochlorothiazide;Triamterene with diuretics,Fixed dose potassium-sparing combinations with triamterene
statin_pitavastatin_type,Pitavastatin;HMG-CoA Reductase Inhibitor;Statins,Pitavastatin specific synthetic statin
statin_lovastatin_type,Lovastatin;HMG-CoA Reductase Inhibitor;Statins,Lovastatin natural statin derivative
statin_fluvastatin_type,Fluvastatin;HMG-CoA Reductase Inhibitor;Statins,Fluvastatin specific synthetic statin derivative
antiplatelet_prasugrel_type,Prasugrel;P2Y12 Inhibitor;Thienopyridine,Prasugrel thienopyridine antiplatelet
antiplatelet_ticagrelor_type,Ticagrelor;P2Y12 Inhibitor;CPTP,Ticagrelor cyclopentyltriazolopyrimidine antiplatelet
antiplatelet_vorapaxar_type,Vorapaxar;Antiplatelet;PAR-1 Antagonist,Vorapaxar PAR-1 selective antagonist antiplatelet
penicillins_temocillin_type,Temocillin;Penicillin Antibiotic;Gram-negative Penicillin,Penicillin antibiotic specific for certain Gram-negative bacteria
penicillins_mecillinam_type,Mecillinam;Pivmecillinam;Amdinocillin;Penicillin,Penicillins used specifically for urinary tract infections
penicillins_flucloxacillin_type,Flucloxacillin;Isoxazolyl Penicillin;Antistaphylococcal Penicillin,Narrow-spectrum beta-lactam antibiotic of the penicillin class
penicillins_methicillin_type,Methicillin;Penicillinase-resistant Penicillin,Historical penicillinase-resistant penicillin
cephalosporins_cefaclor_group,Cefaclor;Cephalosporin-2nd Generation;Antibiotic,Second-generation oral cephalosporin agent
cephalosporins_cefprozil_group,Cefprozil;Cephalosporin-2nd Generation;Antibiotic,Second-generation oral cephalosporin agent
cephalosporins_cefditoren_group,Cefditoren;Cephalosporin-3rd Generation;Antibiotic,Third-generation oral cephalosporin pivoxil derivative
cephalosporins_ceftibuten_group,Ceftibuten;Cephalosporin-3rd Generation;Antibiotic,Third-generation oral cephalosporin agent
cephalosporins_cefradine_group,Cefradine;Cephradine;Cephalosporin-1st Generation,First-generation cephalosporin for systemic use
fluoroquinolones_gemifloxacin_type,Gemifloxacin;Fluoroquinolone;Respiratory Antibiotic,Respiratory fluoroquinolone agent for pneumonia or bronchitis
fluoroquinolones_gatifloxacin_ophthalmic,Gatifloxacin;Fluoroquinolone;Ophthalmic Antibiotic,Fluoroquinolone antibiotic used in ocular preparations
fluoroquinolones_besifloxacin_ophthalmic,Besifloxacin;Fluoroquinolone;Ophthalmic Antibiotic,Fluoroquinolone antibiotic used for bacterial conjunctivitis
antifungals_posaconazole_triazole,Posaconazole;Triazole Antifungal;Antimycotic,Second-generation extended-spectrum triazole antifungal
antifungals_isavuconazole_triazole,Isavuconazole;Isavuconazonium;Triazole Antifungal,Broad-spectrum triazole antifungal for invasive fungal infections
antifungals_nystatin_polyene,Nystatin;Polyene Antifungal;Antimycotic,Polyene antifungal primarily for oral or intestinal candidiasis
antivirals_baloxavir_marboxil,Baloxavir;Influenza Endonuclease Inhibitor;Antiviral,Cap-dependent endonuclease inhibitor for acute influenza
antivirals_maraviroc_ccr5_antagonist,Maraviroc;CCR5 Antagonist;HIV Entry Inhibitor,Entry inhibitor specifically for CCR5-tropic HIV-1
antivirals_enfuvirtide_fusion_inhibitor,Enfuvirtide;Fusion Inhibitor;HIV Antiviral,Biomimetic peptide fusion inhibitor for HIV treatment
antivirals_letermovir_cmv_specific,Letermovir;CMV DNA Terminase Complex Inhibitor,Non-nucleoside antiviral specifically for CMV prophylaxis
antivirals_foscarnet_anti_cmv,Foscarnet;Antiviral;Pyrophosphate Analogue,Non-nucleoside DNA polymerase inhibitor used for CMV retinitis
ace_inhibitor_cilazapril_group,Cilazapril;Inhibace,Specific ACE inhibitor cilazapril and its variants
ace_inhibitor_imidapril_group,Imidapril;Tanatril,Specific ACE inhibitor imidapril used in hypertension and proteinuric kidney disease
ace_inhibitor_delapril_group,Delapril;Adecut,Specific ACE inhibitor delapril primarily used in East Asian markets
ace_inhibitor_temocapril_group,Temocapril;Acecol,Specific ACE inhibitor temocapril with biliary and renal excretion
ace_inhibitor_zofenopril_group,Zofenopril;Zofepril,Specific ACE inhibitor zofenopril often used post-myocardial infarction
ace_inhibitor_spirapril_group,Spirapril;Renormax,Specific ACE inhibitor spirapril with dual elimination
arb_fimasartan_type,Fimasartan;Kanarb,Non-peptide angiotensin II receptor antagonist fimasartan
arb_milfasartan_type,Milfasartan,Specific ARB class agent milfasartan
beta_blocker_esmolol_type,Esmolol;Brevibloc,Ultra-short acting cardioselective beta-1 blocker administered intravenously
beta_blocker_landiolol_type,Landiolol;Onoact,Highly cardioselective ultra-short acting beta blocker for perioperative use
beta_blocker_celiprolol_type,Celiprolol;Selecor,Unique beta-1 antagonist and beta-2 partial agonist profile
beta_blocker_oxprenolol_type,Oxprenolol;Trasicor,Non-selective beta blocker with significant intrinsic sympathomimetic activity
beta_blocker_alprenolol_type,Alprenolol;Aptin,Non-selective beta blocker with intrinsic sympathomimetic activity
beta_blocker_bevantolol_type,Bevantolol;Vantol,Cardioselective beta-1 adrenergic receptor antagonist
beta_blocker_talinolol_type,Talinolol;Cordanum,Highly cardioselective beta-1 blocker
ccb_cilnidipine_type,Cilnidipine;Atelec,Fourth-generation CCB with dual L-type and N-type calcium channel blocking activity
ccb_aranidipine_type,Aranidipine;Sapresta,Specific dihydropyridine calcium channel blocker
ccb_azelnidipine_type,Azelnidipine;Calblock,Long-acting dihydropyridine CCB with antioxidant properties
ccb_barnidipine_type,Barnidipine;Hypoca,High affinity dihydropyridine calcium channel blocker
ccb_benidipine_type,Benidipine;Coniel,"Triple L, T, and N-type calcium channel blocker for vascular protection"
ccb_nilvadipine_type,Nilvadipine;Nivalin,Dihydropyridine CCB with high lipophilicity
ccb_pranidipine_type,Pranidipine;Acalas,Long-acting dihydropyridine calcium channel blocker
diuretic_eplerenone_type,Eplerenone;Inspra,Selective mineralocorticoid receptor antagonist with fewer hormonal side effects than spironolactone
