icd_code,diagnosis_name,procedure_type,min_days,max_days,typical_days,notes,source
O08.6,Damage to pelvic organs and tissues following ectopic pregnancy,InPatient,4,8,5,"Repair of surgical trauma or rupture damage to bladder, bowel, or pelvic vessels.",AI-Enriched-WHO-ThaiDRG
O08.7,Other venous complications following ectopic pregnancy,InPatient,3,7,5,Management of thrombophlebitis or venous thrombosis post-ectopic resolution.,AI-Enriched-WHO-ThaiDRG
O08.8,Other complications following ectopic pregnancy,InPatient,3,6,4,Includes cardiac arrest or renal failure secondary to ectopic pregnancy rupture.,AI-Enriched-WHO-ThaiDRG
O08.9,"Complication following ectopic pregnancy, unspecified",InPatient,2,5,3,Post-procedural or post-rupture observation for non-specific complications.,AI-Enriched-WHO-ThaiDRG
O14.0,Mild to moderate pre-eclampsia,InPatient,3,6,4,Hypertension and proteinuria management with fetal surveillance.,AI-Enriched-WHO-ThaiDRG
O14.1,Severe pre-eclampsia,InPatient,4,10,6,Inpatient stabilization with magnesium sulfate; delivery planning based on maternal status.,AI-Enriched-WHO-ThaiDRG
O14.2,HELLP syndrome,InPatient,5,12,7,"Severe syndrome involving hemolysis, elevated liver enzymes, and low platelets.",AI-Enriched-WHO-ThaiDRG
O14.9,Unspecified pre-eclampsia,InPatient,3,7,4,Standard pre-eclampsia monitoring and blood pressure optimization.,AI-Enriched-WHO-ThaiDRG
O15.00,"Eclampsia in pregnancy, unspecified trimester",InPatient,5,14,8,Management of maternal seizures; stabilization followed by urgent delivery.,AI-Enriched-WHO-ThaiDRG
O15.01,"Eclampsia in pregnancy, first trimester",InPatient,5,10,7,Rare early-onset eclampsia requiring critical care and pregnancy termination.,AI-Enriched-WHO-ThaiDRG
O15.02,"Eclampsia in pregnancy, second trimester",InPatient,5,12,8,Critical management of hypertension and seizure activity in mid-pregnancy.,AI-Enriched-WHO-ThaiDRG
O15.03,"Eclampsia in pregnancy, third trimester",InPatient,5,10,7,Acute management of seizures; immediate delivery often required once stable.,AI-Enriched-WHO-ThaiDRG
O10.0,Pre-existing essential hypertension complicating pregnancy,InPatient,2,5,3,Monitoring for superimposed pre-eclampsia in patients with chronic hypertension.,AI-Enriched-WHO-ThaiDRG
O10.1,Pre-existing hypertensive heart disease complicating pregnancy,InPatient,4,8,5,Cardiac and obstetric co-management of maternal heart failure risk.,AI-Enriched-WHO-ThaiDRG
O10.2,Pre-existing hypertensive renal disease complicating pregnancy,InPatient,4,9,6,Renal function monitoring and blood pressure titration in high-risk pregnancy.,AI-Enriched-WHO-ThaiDRG
O10.3,Pre-existing hypertensive heart and renal disease complicating pregnancy,InPatient,5,12,7,Complex management of multi-organ hypertensive disease during pregnancy.,AI-Enriched-WHO-ThaiDRG
O10.4,Pre-existing secondary hypertension complicating pregnancy,InPatient,3,7,4,Hypertension due to endocrine or other causes requiring specialized care.,AI-Enriched-WHO-ThaiDRG
O10.9,Unspecified pre-existing hypertension complicating pregnancy,InPatient,2,5,3,Standard hypertension management and fetal growth surveillance.,AI-Enriched-WHO-ThaiDRG
O00.10,"Tubal pregnancy without intrauterine pregnancy, without rupture",InPatient,2,4,3,Medical or surgical management of unruptured tubal ectopic pregnancy.,AI-Enriched-WHO-ThaiDRG
O00.11,"Tubal pregnancy without intrauterine pregnancy, with rupture",InPatient,4,7,5,Emergency surgical management of ruptured fallopian tube and hemoperitoneum.,AI-Enriched-WHO-ThaiDRG
O00.20,"Ovarian pregnancy without intrauterine pregnancy, without rupture",InPatient,2,4,3,Laparoscopic management of unruptured ectopic pregnancy at the ovary.,AI-Enriched-WHO-ThaiDRG
O00.21,"Ovarian pregnancy without intrauterine pregnancy, with rupture",InPatient,4,8,5,Emergency surgery for ruptured ovarian ectopic; focus on hemodynamic stability.,AI-Enriched-WHO-ThaiDRG
O00.00,"Abdominal pregnancy without intrauterine pregnancy, without rupture",InPatient,3,6,4,Surgical management of ectopic pregnancy implanted in the abdominal cavity.,AI-Enriched-WHO-ThaiDRG
O00.01,"Abdominal pregnancy without intrauterine pregnancy, with rupture",InPatient,5,10,7,Major surgery for ruptured abdominal ectopic; management of organ hemorrhage.,AI-Enriched-WHO-ThaiDRG
O00.80,Other ectopic pregnancy without rupture,InPatient,2,4,3,Includes cervical or intramural ectopic pregnancies managed surgically.,AI-Enriched-WHO-ThaiDRG
O00.81,Other ectopic pregnancy with rupture,InPatient,4,8,5,Emergency management of ruptured cervical or cornual ectopic pregnancy.,AI-Enriched-WHO-ThaiDRG
O00.90,"Ectopic pregnancy, unspecified, without rupture",InPatient,2,4,3,Diagnostic laparoscopy or medical management of unspecified ectopic pregnancy.,AI-Enriched-WHO-ThaiDRG
O00.91,"Ectopic pregnancy, unspecified, with rupture",InPatient,4,7,5,Emergency intervention for hemodynamic instability due to unspecified ectopic rupture.,AI-Enriched-WHO-ThaiDRG
O03.4,"Incomplete spontaneous abortion, without complication",InPatient,1,3,2,Evacuation of retained products of conception; monitoring for post-procedural bleeding.,AI-Enriched-WHO-ThaiDRG
O03.9,"Complete or unspecified spontaneous abortion, without complication",InPatient,1,2,1,Short stay for observation after complete expulsion of products of conception.,AI-Enriched-WHO-ThaiDRG
O04.5,"Medical abortion, complicated by genital tract and pelvic infection",InPatient,3,6,4,IV antibiotics and monitoring for sepsis following medical termination.,AI-Enriched-WHO-ThaiDRG
O04.6,"Medical abortion, complicated by delayed or excessive hemorrhage",InPatient,2,4,3,Blood transfusion or surgical curettage required for post-abortion bleeding.,AI-Enriched-WHO-ThaiDRG
O04.7,"Medical abortion, complicated by embolism",InPatient,4,8,5,Management of pulmonary or amniotic fluid embolism following termination.,AI-Enriched-WHO-ThaiDRG
O04.8,"Medical abortion, complicated by other specified conditions",InPatient,2,5,3,Includes renal failure or shock following medical abortion.,AI-Enriched-WHO-ThaiDRG
O04.9,"Medical abortion, complete or unspecified, without complication",InPatient,1,2,1,Observation for completion of medical termination procedure.,AI-Enriched-WHO-ThaiDRG
O07.0,"Failed medical abortion, complicated by genital tract and pelvic infection",InPatient,3,6,4,Treatment of infection and surgical completion of abortion.,AI-Enriched-WHO-ThaiDRG
O07.1,"Failed medical abortion, complicated by delayed or excessive hemorrhage",InPatient,2,4,3,Hemorrhage control following unsuccessful medical termination.,AI-Enriched-WHO-ThaiDRG
O07.2,"Failed medical abortion, complicated by embolism",InPatient,4,9,6,Critical care for emboli following failed termination attempts.,AI-Enriched-WHO-ThaiDRG
O07.3,"Failed medical abortion, with other and unspecified complications",InPatient,2,5,3,Management of multi-system issues after failed medical abortion.,AI-Enriched-WHO-ThaiDRG
O07.4,"Failed medical abortion, without complication",InPatient,1,3,2,Observation and planning for follow-up surgical evacuation.,AI-Enriched-WHO-ThaiDRG
P03.0,Newborn affected by breech delivery and extraction,InPatient,2,5,3,Observation for trauma and musculoskeletal assessment after breech birth.,AI-Enriched-WHO-ThaiDRG
P03.1,Newborn affected by malpresentation and disproportion during labor,InPatient,2,5,3,Monitoring for physical injury or hypoxia related to obstructed labor.,AI-Enriched-WHO-ThaiDRG
P03.2,Newborn affected by forceps delivery,InPatient,2,4,2,Observation for cranial trauma or facial nerve injury following forceps use.,AI-Enriched-WHO-ThaiDRG
P03.3,Newborn affected by vacuum extractor,InPatient,2,4,2,Monitoring for subgaleal hemorrhage and scalp lacerations.,AI-Enriched-WHO-ThaiDRG
P03.4,Newborn affected by Caesarean section,InPatient,2,4,2,Monitoring for transient tachypnea of the newborn common in C-sections.,AI-Enriched-WHO-ThaiDRG
P05.0,Light-for-dates newborn,InPatient,3,10,5,Nutritional support and glucose monitoring for infants with low weight for age.,AI-Enriched-WHO-ThaiDRG
P05.1,Small-for-dates newborn,InPatient,3,10,5,Assessment of growth retardation and thermoregulation management.,AI-Enriched-WHO-ThaiDRG
P08.0,Exceptionally large baby,InPatient,2,4,2,Monitoring for hypoglycemia and birth trauma in macrosomic infants.,AI-Enriched-WHO-ThaiDRG
P08.1,Heavy-for-dates newborn,InPatient,2,4,2,Evaluation of metabolic stability and potential maternal diabetic effects.,AI-Enriched-WHO-ThaiDRG
P08.2,"Post-term infant, not heavy-for-dates",InPatient,2,4,2,Observation for placental insufficiency effects and skin peeling.,AI-Enriched-WHO-ThaiDRG
P10.0,Subdural haemorrhage due to birth injury,InPatient,5,14,7,Intensive monitoring for intracranial pressure and neurological deficits.,AI-Enriched-WHO-ThaiDRG
P10.1,Cerebral haemorrhage due to birth injury,InPatient,5,14,7,Management of acute intracranial bleeding and seizure prophylaxis.,AI-Enriched-WHO-ThaiDRG
P11.0,Cerebral oedema due to birth injury,InPatient,3,7,4,Observation for signs of encephalopathy and monitoring of fontanelles.,AI-Enriched-WHO-ThaiDRG
P11.1,Other specified brain damage due to birth injury,InPatient,4,10,6,Supportive care for birth-related hypoxic-ischemic events.,AI-Enriched-WHO-ThaiDRG
P12.0,Cephalhaematoma due to birth injury,InPatient,2,4,3,Monitoring for hyperbilirubinemia as the hematoma resolves.,AI-Enriched-WHO-ThaiDRG
P13.4,Fracture of clavicle due to birth injury,InPatient,2,5,3,Pain management and immobilization for shoulder dystocia injury.,AI-Enriched-WHO-ThaiDRG
P14.0,Erb's paralysis due to birth injury,InPatient,3,7,4,Neurological assessment and physical therapy initiation for brachial plexus injury.,AI-Enriched-WHO-ThaiDRG
P15.0,Birth injury to liver,InPatient,5,12,7,Critical monitoring for internal bleeding and hepatic enzymes.,AI-Enriched-WHO-ThaiDRG
P15.1,Birth injury to spleen,InPatient,5,12,7,Emergency stabilization and monitoring for splenic rupture.,AI-Enriched-WHO-ThaiDRG
P24.2,Neonatal aspiration of blood,InPatient,4,10,6,Management of respiratory distress and clearing of airways.,AI-Enriched-WHO-ThaiDRG
P24.3,Neonatal aspiration of milk,InPatient,4,10,6,Treatment of aspiration pneumonia and feeding technique correction.,AI-Enriched-WHO-ThaiDRG
P25.0,Interstitial emphysema originating in perinatal period,InPatient,7,21,10,Neonatal ICU care for air leak syndrome and respiratory support.,AI-Enriched-WHO-ThaiDRG
P25.1,Pneumothorax originating in perinatal period,InPatient,5,14,7,Chest tube management or observation for spontaneous resolution.,AI-Enriched-WHO-ThaiDRG
P25.2,Pneumomediastinum originating in perinatal period,InPatient,5,14,7,Monitoring for progression and cardiac tamponade signs.,AI-Enriched-WHO-ThaiDRG
P26.0,Tracheobronchial haemorrhage in newborn,InPatient,5,14,7,Critical airway management and suctioning for localized bleeding.,AI-Enriched-WHO-ThaiDRG
P26.1,Massive pulmonary haemorrhage in newborn,InPatient,7,21,10,High-frequency ventilation and surfactant therapy for severe hemorrhage.,AI-Enriched-WHO-ThaiDRG
P28.0,Primary atelectasis of newborn,InPatient,3,7,5,Oxygen therapy and recruitment maneuvers for collapsed lung segments.,AI-Enriched-WHO-ThaiDRG
P28.1,Other and unspecified atelectasis of newborn,InPatient,3,7,5,Management of acquired lung collapse during hospital stay.,AI-Enriched-WHO-ThaiDRG
P28.5,Respiratory failure of newborn,InPatient,5,14,8,Mechanical ventilation or CPAP for severe gas exchange failure.,AI-Enriched-WHO-ThaiDRG
P29.0,Neonatal cardiac failure,InPatient,5,14,8,Diuretic and inotropic support for compromised heart function.,AI-Enriched-WHO-ThaiDRG
P29.1,Neonatal cardiac dysrhythmia,InPatient,3,10,5,EKG monitoring and pharmacological control of heart rhythm.,AI-Enriched-WHO-ThaiDRG
P35.3,Congenital viral hepatitis,InPatient,7,21,10,Antiviral treatment and liver function monitoring in the neonate.,AI-Enriched-WHO-ThaiDRG
P37.0,Congenital tuberculosis,InPatient,10,28,14,Long-term isolation and intensive multidrug antibiotic therapy.,AI-Enriched-WHO-ThaiDRG
P39.0,Infective mastitis of newborn,InPatient,3,7,4,Antibiotic treatment and prevention of abscess formation.,AI-Enriched-WHO-ThaiDRG
P39.4,Neonatal urinary tract infection,InPatient,3,7,5,IV antibiotic therapy and renal ultrasound to check for anomalies.,AI-Enriched-WHO-ThaiDRG
P52.4,Intracerebral non-traumatic haemorrhage of newborn,InPatient,7,21,14,Stabilization and serial head ultrasounds to monitor bleed progression.,AI-Enriched-WHO-ThaiDRG
P54.1,Melaena neonatorum,InPatient,3,7,4,Vitamin K administration and ruling out necrotizing enterocolitis.,AI-Enriched-WHO-ThaiDRG
P58.3,Neonatal jaundice due to polycythaemia,InPatient,2,5,3,Hydration and phototherapy for elevated bilirubin from high RBC count.,AI-Enriched-WHO-ThaiDRG
P61.0,Transient neonatal thrombocytopenia,InPatient,3,7,4,Platelet monitoring and ruling out maternal alloantibodies.,AI-Enriched-WHO-ThaiDRG
P70.2,Neonatal diabetes mellitus,InPatient,5,14,7,Insulin titration and education for rare neonatal hyperglycemia.,AI-Enriched-WHO-ThaiDRG
P71.1,Other neonatal hypocalcaemia,InPatient,2,5,3,Calcium supplementation and monitoring for neuromuscular irritability.,AI-Enriched-WHO-ThaiDRG
P76.0,Meconium plug syndrome,InPatient,3,10,5,Glycerin suppositories and monitoring for bowel obstruction.,AI-Enriched-WHO-ThaiDRG
P77,Necrotizing enterocolitis of newborn,InPatient,14,45,21,"Bowel rest, TPN, and serial abdominal X-rays; surgical consult.",AI-Enriched-WHO-ThaiDRG
P90,Convulsions of newborn,InPatient,3,10,5,Phenobarbital loading and workup for metabolic or structural cause.,AI-Enriched-WHO-ThaiDRG
A03.0,Shigellosis due to Shigella dysenteriae,InPatient,3,7,4,Pediatric isolation and rehydration for severe bacillary dysentery.,AI-Enriched-WHO-ThaiDRG
A03.1,Shigellosis due to Shigella flexneri,InPatient,3,7,4,Management of inflammatory diarrhea and electrolyte correction.,AI-Enriched-WHO-ThaiDRG
A05.0,Foodborne staphylococcal intoxication,InPatient,2,5,3,Supportive care for acute vomiting and rapid fluid loss in children.,AI-Enriched-WHO-ThaiDRG
A05.2,Foodborne Clostridium perfringens intoxication,InPatient,3,7,4,Monitoring for toxin-mediated enteritis and profound dehydration.,AI-Enriched-WHO-ThaiDRG
A06.0,Acute amoebic dysentery,InPatient,3,7,5,Amoebicidal therapy and monitoring for liver abscess complications.,AI-Enriched-WHO-ThaiDRG
A07.1,Giardiasis [lambliasis],InPatient,2,5,3,Treatment of malabsorptive diarrhea and rehydration.,AI-Enriched-WHO-ThaiDRG
C07,Malignant neoplasm of parotid gland,InPatient,3,6,4,Surgical resection (parotidectomy) with monitoring for facial nerve function and drainage.,AI-Enriched-WHO-ThaiDRG
C08.0,Malignant neoplasm of submandibular gland,InPatient,2,5,3,Excision of submandibular gland; assessment of local wound healing and airway stability.,AI-Enriched-WHO-ThaiDRG
C10.1,Malignant neoplasm of anterior surface of epiglottis,InPatient,5,12,8,Surgical oncology intervention; requires monitoring for airway patency and swallowing ability.,AI-Enriched-WHO-ThaiDRG
C12,Malignant neoplasm of pyriform sinus,InPatient,7,16,10,Complex pharyngectomy or laryngectomy; monitoring for fistula and nutritional support.,AI-Enriched-WHO-ThaiDRG
C15.0,Malignant neoplasm of cervical part of oesophagus,InPatient,10,21,14,High-risk esophagectomy; requires intensive post-operative care and leakage monitoring.,AI-Enriched-WHO-ThaiDRG
C16.1,Malignant neoplasm of fundus of stomach,InPatient,6,12,8,Subtotal or total gastrectomy; monitoring for anastomotic leak and nutrition progress.,AI-Enriched-WHO-ThaiDRG
C16.2,Malignant neoplasm of body of stomach,InPatient,6,12,8,Gastric resection; management of post-operative ileus and early enteral feeding.,AI-Enriched-WHO-ThaiDRG
C17.1,Malignant neoplasm of duodenum,InPatient,8,18,12,Pancreaticoduodenectomy or segmental resection; complex fluid and electrolyte management.,AI-Enriched-WHO-ThaiDRG
C17.2,Malignant neoplasm of jejunum,InPatient,5,10,7,Small bowel resection; post-operative monitoring for return of bowel function.,AI-Enriched-WHO-ThaiDRG
C18.2,Malignant neoplasm of ascending colon,InPatient,5,9,6,Right hemicolectomy; observation for anastomotic stability and infection control.,AI-Enriched-WHO-ThaiDRG
C18.3,Malignant neoplasm of hepatic flexure,InPatient,5,10,6,Extended right hemicolectomy; surgical recovery and pain management.,AI-Enriched-WHO-ThaiDRG
C18.4,Malignant neoplasm of transverse colon,InPatient,5,10,7,Transverse colectomy; monitoring for bowel motility and diet advancement.,AI-Enriched-WHO-ThaiDRG
C18.5,Malignant neoplasm of splenic flexure,InPatient,5,10,7,Left hemicolectomy; recovery monitoring for colon surgery and post-op analgesia.,AI-Enriched-WHO-ThaiDRG
C18.6,Malignant neoplasm of descending colon,InPatient,5,9,6,Standard left colectomy; monitoring for surgical site infection and oral intake tolerance.,AI-Enriched-WHO-ThaiDRG
C18.7,Malignant neoplasm of sigmoid colon,InPatient,4,8,6,Sigmoidectomy; early mobilization and monitoring for pelvic complications.,AI-Enriched-WHO-ThaiDRG
C21.1,Malignant neoplasm of anal canal,InPatient,3,10,5,Abdominoperineal resection or local excision; requires intensive wound care and stoma teaching.,AI-Enriched-WHO-ThaiDRG
C22.2,Hepatoblastoma,InPatient,7,15,10,Pediatric liver resection; requires specialized pediatric ICU and monitoring for liver failure.,AI-Enriched-WHO-ThaiDRG
C22.3,Angiosarcoma of liver,InPatient,7,14,9,Highly vascular tumor resection; monitoring for hemorrhage and acute hepatic dysfunction.,AI-Enriched-WHO-ThaiDRG
C25.1,Malignant neoplasm of body of pancreas,InPatient,7,14,9,Distal pancreatectomy with or without splenectomy; monitoring for pancreatic fistula.,AI-Enriched-WHO-ThaiDRG
C25.2,Malignant neoplasm of tail of pancreas,InPatient,7,14,9,Tail resection; assessment for post-operative glycemic control and drain output.,AI-Enriched-WHO-ThaiDRG
C32.0,Malignant neoplasm of glottis,InPatient,4,14,7,Laryngectomy or cordectomy; airway management and speech therapy consult.,AI-Enriched-WHO-ThaiDRG
C32.1,Malignant neoplasm of supraglottis,InPatient,5,14,8,Supraglottic laryngectomy; monitoring for aspiration risk and swallowing retraining.,AI-Enriched-WHO-ThaiDRG
C34.1,"Malignant neoplasm of upper lobe, bronchus or lung",InPatient,4,9,6,Lobectomy; chest tube management and pulmonary rehabilitation.,AI-Enriched-WHO-ThaiDRG
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",InPatient,4,9,6,Lung resection; assessment of oxygenation and remaining lung expansion.,AI-Enriched-WHO-ThaiDRG
C34.3,"Malignant neoplasm of lower lobe, bronchus or lung",InPatient,4,9,6,Lower lobectomy; drainage monitoring and incentive spirometry oversight.,AI-Enriched-WHO-ThaiDRG
C40.1,Malignant neoplasm of short bones of upper limb,InPatient,2,6,3,Bone tumor resection; orthopedic stabilization and functional monitoring.,AI-Enriched-WHO-ThaiDRG
C40.2,Malignant neoplasm of long bones of lower limb,InPatient,5,14,8,Limb-sparing surgery or amputation; complex pain management and physical therapy.,AI-Enriched-WHO-ThaiDRG
C41.2,Malignant neoplasm of vertebral column,InPatient,5,14,7,Spinal tumor decompression and stabilization; neurological monitoring and physical therapy.,AI-Enriched-WHO-ThaiDRG
C43.0,Malignant melanoma of lip,InPatient,2,5,3,Wide local excision with potential flap reconstruction and sentinel node biopsy.,AI-Enriched-WHO-ThaiDRG
C44.1,Malignant neoplasm of skin of eyelid,InPatient,1,3,2,Mohs surgery or wide excision; monitoring for corneal protection and flap viability.,AI-Enriched-WHO-ThaiDRG
C44.2,Malignant neoplasm of skin of ear and external auricular canal,InPatient,2,5,3,Resection with possible skin grafting; monitoring for graft take and local healing.,AI-Enriched-WHO-ThaiDRG
C44.3,Malignant neoplasm of skin of other and unspecified parts of face,InPatient,1,4,2,Facial skin malignancy resection; aesthetic closure monitoring and post-op wound care.,AI-Enriched-WHO-ThaiDRG
C47.1,Malignant neoplasm of peripheral nerves of upper limb including shoulder,InPatient,2,6,3,Nerve sheath tumor resection; neurovascular status monitoring in the extremity.,AI-Enriched-WHO-ThaiDRG
C48.1,Malignant neoplasm of specified parts of peritoneum,InPatient,10,25,14,Cytoreductive surgery and HIPEC; requires prolonged recovery for systemic and local toxicity.,AI-Enriched-WHO-ThaiDRG
C49.1,Malignant neoplasm of connective and soft tissue of upper limb including shoulder,InPatient,3,7,4,Soft tissue sarcoma resection; monitoring for wound drainage and limb function.,AI-Enriched-WHO-ThaiDRG
C50.1,Malignant neoplasm of central portion of breast,InPatient,1,4,2,Mastectomy or lumpectomy; monitoring for seroma and drainage management.,AI-Enriched-WHO-ThaiDRG
C50.2,Malignant neoplasm of upper-inner quadrant of breast,InPatient,1,4,2,Surgical resection; recovery monitoring and axillary lymph node management.,AI-Enriched-WHO-ThaiDRG
C53.1,Malignant neoplasm of exocervix,InPatient,3,7,4,Radical hysterectomy or trachelectomy; bladder function monitoring post-surgery.,AI-Enriched-WHO-ThaiDRG
C54.0,Malignant neoplasm of isthmus uteri,InPatient,3,6,4,Hysterectomy and staging; assessment of surgical site and urinary output.,AI-Enriched-WHO-ThaiDRG
C57.4,Malignant neoplasm of uterine adnexa,InPatient,4,10,6,Ovarian or fallopian tube tumor debulking; monitoring for bowel return and pelvic drainage.,AI-Enriched-WHO-ThaiDRG
C62.0,Malignant neoplasm of undescended testis,InPatient,2,5,3,Abdominal orchiectomy; monitoring for internal bleeding and wound healing.,AI-Enriched-WHO-ThaiDRG
C62.1,Malignant neoplasm of descended testis,InPatient,1,3,2,Radical inguinal orchiectomy; simple surgical recovery and pain control.,AI-Enriched-WHO-ThaiDRG
C63.0,Malignant neoplasm of epididymis,InPatient,1,3,2,Surgical excision; monitoring for scrotal hematoma and infection.,AI-Enriched-WHO-ThaiDRG
C67.1,Malignant neoplasm of dome of bladder,InPatient,5,14,7,Partial or radical cystectomy; monitoring for urinary diversion patency.,AI-Enriched-WHO-ThaiDRG
C67.2,Malignant neoplasm of lateral wall of bladder,InPatient,5,14,8,Bladder wall resection; assessment of hematuria and ureteral patency.,AI-Enriched-WHO-ThaiDRG
C70.1,Malignant neoplasm of spinal meninges,InPatient,5,12,7,Resection of meningeal tumor; monitoring for CSF leak and neurological deficits.,AI-Enriched-WHO-ThaiDRG
C75.1,Malignant neoplasm of pituitary gland,InPatient,4,10,6,Transsphenoidal resection; monitoring for diabetes insipidus and hormonal balance.,AI-Enriched-WHO-ThaiDRG
C79.1,Secondary malignant neoplasm of bladder and other and unspecified urinary organs,InPatient,3,7,4,Palliative resection or stent placement; focus on urinary patency and symptom relief.,AI-Enriched-WHO-ThaiDRG
C79.5,Secondary malignant neoplasm of bone and bone marrow,InPatient,4,10,6,Stabilization for pathological fracture or palliative radiation; pain management focus.,AI-Enriched-WHO-ThaiDRG
Z51.11,Encounter for antineoplastic chemotherapy,InPatient,1,4,3,Inpatient administration of multi-day chemotherapy cycles requiring intensive hydration.,AI-Enriched-WHO-ThaiDRG
E10.10,Type 1 diabetes mellitus with ketoacidosis without coma,InPatient,2,5,3,Management of moderate to severe DKA requiring IV insulin and electrolyte correction.,AI-Enriched-WHO-ThaiDRG
E10.11,Type 1 diabetes mellitus with ketoacidosis with coma,InPatient,4,9,6,Critical care for DKA with coma; monitoring for cerebral edema and neurological recovery.,AI-Enriched-WHO-ThaiDRG
E11.10,Type 2 diabetes mellitus with ketoacidosis without coma,InPatient,2,5,3,Fluid resuscitation and transition from IV to subcutaneous insulin for T2DM ketoacidosis.,AI-Enriched-WHO-ThaiDRG
E11.11,Type 2 diabetes mellitus with ketoacidosis with coma,InPatient,4,8,6,Intensive management of altered consciousness and severe metabolic derangement.,AI-Enriched-WHO-ThaiDRG
E13.10,Other specified diabetes mellitus with ketoacidosis without coma,InPatient,3,6,4,Secondary diabetes DKA; includes management of underlying causes like pancreatitis.,AI-Enriched-WHO-ThaiDRG
E08.10,Diabetes mellitus due to underlying condition with ketoacidosis without coma,InPatient,3,7,5,"DKA in secondary diabetes (e.g., Cushing's) requiring multispecialty care.",AI-Enriched-WHO-ThaiDRG
E08.11,Diabetes mellitus due to underlying condition with ketoacidosis with coma,InPatient,5,10,7,High-risk DKA with coma in medically complex patients.,AI-Enriched-WHO-ThaiDRG
E09.11,Drug or chemical induced diabetes mellitus with ketoacidosis with coma,InPatient,5,12,8,Toxicology-related DKA with severe mental status changes.,AI-Enriched-WHO-ThaiDRG
E16.0,Drug-induced hypoglycemia without coma,InPatient,1,3,2,Monitoring for long-acting sulfonylurea toxicity; frequent glucose checks.,AI-Enriched-WHO-ThaiDRG
E16.1,Other hypoglycemia,InPatient,2,4,3,Workup for reactive hypoglycemia or non-insulinoma pancreatogenous hypoglycemia.,AI-Enriched-WHO-ThaiDRG
E83.30,"Disorder of phosphorus metabolism, unspecified",InPatient,2,4,3,Stabilization of phosphorus levels; workup for renal or intestinal malabsorption.,AI-Enriched-WHO-ThaiDRG
E83.39,Other disorders of phosphorus metabolism,InPatient,2,5,3,"Management of severe hypophosphatemia, often in the context of refeeding syndrome.",AI-Enriched-WHO-ThaiDRG
E83.41,Hypermagnesemia,InPatient,2,4,3,Correction of magnesium excess; monitoring of deep tendon reflexes and cardiac status.,AI-Enriched-WHO-ThaiDRG
E83.42,Hypomagnesemia,InPatient,2,4,3,IV magnesium replacement and monitoring for cardiac arrhythmias (Torsades).,AI-Enriched-WHO-ThaiDRG
E83.49,Other disorders of magnesium metabolism,InPatient,2,5,3,Complex magnesium balance disorders often associated with chronic diuretic use.,AI-Enriched-WHO-ThaiDRG
E83.50,"Disorder of calcium metabolism, unspecified",InPatient,2,4,3,Investigation and management of symptomatic calcium imbalance.,AI-Enriched-WHO-ThaiDRG
E83.51,Hypocalcemia,InPatient,2,4,3,IV calcium titration; monitoring for Chvostek's/Trousseau's signs and QT prolongation.,AI-Enriched-WHO-ThaiDRG
E83.52,Hypercalcemia,InPatient,3,6,4,"Aggressive hydration, loop diuretics, and bisphosphonates for severe hypercalcemia.",AI-Enriched-WHO-ThaiDRG
E83.59,Other disorders of calcium metabolism,InPatient,2,5,3,Management of complex hypercalciuria or other calcium handling defects.,AI-Enriched-WHO-ThaiDRG
E88.3,Tumor lysis syndrome,InPatient,4,8,5,"Management of hyperkalemia, hyperuricemia, and renal failure during chemotherapy.",AI-Enriched-WHO-ThaiDRG
E87.21,Acute metabolic acidosis,InPatient,2,6,4,Identification of anion gap causes and bicarbonate therapy if pH < 7.1.,AI-Enriched-WHO-ThaiDRG
E87.22,Chronic metabolic acidosis,InPatient,3,7,4,Management of acidosis in advanced CKD or renal tubular acidosis.,AI-Enriched-WHO-ThaiDRG
E87.29,Other metabolic acidosis,InPatient,2,5,3,Correction of non-anion gap acidosis often due to GI losses or RTA.,AI-Enriched-WHO-ThaiDRG
E87.70,"Fluid overload, unspecified",InPatient,2,5,3,Diuretic therapy for peripheral and pulmonary edema in renal/heart failure.,AI-Enriched-WHO-ThaiDRG
E87.71,Transfusion associated circulatory overload,InPatient,1,3,2,Acute respiratory distress management post-transfusion; urgent diuresis.,AI-Enriched-WHO-ThaiDRG
N14.0,Nephropathy induced by analgesic drugs,InPatient,4,8,5,NSAID-induced AKI or interstitial nephritis; cessation of drug and hydration.,AI-Enriched-WHO-ThaiDRG
N14.3,Nephropathy induced by heavy metals,InPatient,5,10,7,"Management of metal toxicity (e.g., lead, mercury) affecting renal function.",AI-Enriched-WHO-ThaiDRG
N14.4,"Toxic nephropathy, not elsewhere classified",InPatient,3,7,5,"Acute tubular necrosis from nephrotoxic exposures (e.g., contrast, toxins).",AI-Enriched-WHO-ThaiDRG
N20.0,Calculus of kidney,InPatient,2,4,3,Management of symptomatic staghorn or large renal calculi requiring intervention.,AI-Enriched-WHO-ThaiDRG
N20.1,Calculus of ureter,InPatient,1,3,2,Severe pain and obstruction management; evaluation for ureteroscopy.,AI-Enriched-WHO-ThaiDRG
N20.2,Calculus of kidney with calculus of ureter,InPatient,2,5,4,Combined obstructive stones requiring more complex urological strategy.,AI-Enriched-WHO-ThaiDRG
N20.9,"Urinary calculus, unspecified",InPatient,1,3,2,Pain management and diagnostic imaging for symptomatic urolithiasis.,AI-Enriched-WHO-ThaiDRG
