icd_code,diagnosis_group,expected_drug_classes,red_flag_drugs,max_drug_count,notes
T43.2,tca_poisoning,sodium_bicarbonate(for_QRS_widening);iv_fluids;benzodiazepines(seizures),class_1a_1c_antiarrhythmics;flumazenil(precipitates_seizures),5,cardiac_monitoring_essential;serotonin_syndrome_watch;anticholinergic_signs
T44.3,anticholinergic_poisoning,benzodiazepines(agitation);activated_charcoal;antidote(physostigmine_severe_cases_only),antipsychotics(worsen_toxicity);antihistamines,4,Cooling_measures_for_hyperthermia;catheterize_for_retention;dark_room
T46.0,cardiac_glycoside_poisoning,antidote(digoxin_immune_fab);atropine(bradycardia);magnesium_sulfate,calcium_iv(stone_heart_risk);beta_blockers(worsen_bradycardia),5,Monitor_potassium_levels;continuous_ECG;avoid_cardioversion_if_possible
T51.0,alcohol_intoxication_acute,vitamin_b1(thiamine);iv_fluids(dextrose_saline);multivitamins,sedatives(additive_depression);paracetamol(hepatotoxicity_risk),4,Thiamine_before_glucose_to_prevent_Wernicke;monitor_blood_glucose;aspiration_risk
T60.0,organophosphate_poisoning,antidote(atropine);antidote(pralidoxime);benzodiazepines(seizures),succinylcholine(prolonged_paralysis);morphine;physostigmine,5,Decontamination_is_critical;titrate_atropine_to_drying_of_secretions;monitor_respiratory_failure
T63.0,snake_venom_toxicity,antivenom(specific_species);analgesics(paracetamol_tramadol);tetanus_toxoid,nsaids(coagulopathy_risk);sedatives;aspirin,5,Identify_snake_species;limb_immobilization;serial_coagulation_tests
T79.3,post_traumatic_wound_infection,antibiotics(cloxacillin_or_cephalexin);analgesics(ibuprofen_paracetamol),corticosteroids(suppress_immune_response);topical_antibiotics_only(if_systemic_signs),4,Wound_swab_for_culture;drain_abscesses;assess_for_foreign_body
T81.4,surgical_site_infection,antibiotics(guided_by_culture_or_empiric_broad);analgesics;antipyretics,immunosuppressants(pause_if_possible),4,Remove_sutures_to_drain_pus;wound_care;monitor_sepsis_signs
A04.7,clostridium_difficile_enterocolitis,antibiotics(oral_vancomycin_or_fidaxomicin);antibiotics(metronidazole_mild_cases);probiotics(saccharomyces_boulardii),antimotility_agents(loperamide);opiates;proton_pump_inhibitors(may_increase_recurrence),4,Discontinue_offending_antibiotics;contact_precautions;monitor_hydration
A08.0,rotaviral_enteritis,oral_rehydration_salts(ORS);zinc_sulfate(pediatric);antipyretics(paracetamol),antibiotics(ineffective_viral);antimotility_agents(risk_of_toxic_megacolon_in_kids);nsaids(renal_risk_if_dehydrated),3,Self_limiting;focus_on_fluid_replacement;vaccination_history_review
A18.0,tuberculosis_of_bones_and_joints,antituberculars(rifampicin_isoniazid_pyrazinamide_ethambutol);analgesics;vitamin_b6(pyridoxine),fluoroquinolones_monotherapy(masks_tb);corticosteroids(without_tb_coverage),6,Prolonged_treatment_9_to_12_months;monitor_liver_enzymes;surgical_debridement_may_be_needed
A22.0,cutaneous_anthrax,fluoroquinolones(ciprofloxacin);tetracyclines(doxycycline);penicillins(amoxicillin_if_sensitive),corticosteroids(unless_severe_edema_head_neck);topical_antibiotics(insufficient),3,Notify_epidemiology_unit;treat_60_days_if_bioterrorism_suspected;monitor_for_systemic_signs
A28.1,cat_scratch_disease,macrolides(azithromycin);tetracyclines(doxycycline);rifamycins(rifampin_severe_cases);analgesics,penicillins(ineffective);corticosteroids(routine_use_not_indicated),3,Bartonella_henselae;lymphadenopathy_usually_resolves_slowly;check_immune_status
A32.1,listerial_meningitis,penicillins(ampicillin_high_dose);aminoglycosides(gentamicin_synergy),cephalosporins(listeria_is_intrinsically_resistant);corticosteroids(unclear_benefit),5,Common_in_neonates_elderly_immunocompromised;iv_treatment_essential_3_weeks
A42.0,pulmonary_actinomycosis,penicillins(penicillin_G_high_dose_iv);tetracyclines(doxycycline);macrolides(erythromycin),aminoglycosides(ineffective);metronidazole(ineffective);antifungals(misdiagnosis),4,Sulfur_granules_in_sputum;prolonged_oral_therapy_6_to_12_months_after_iv
A48.0,gas_gangrene,antibiotics(penicillin_plus_clindamycin);antibiotics(piperacillin_tazobactam);iv_crystalloids,vasopressors(without_fluid_resuscitation);aminoglycosides(poor_anaerobic_activity),6,Surgical_emergency_debridement;hyperbaric_oxygen_adjunct;clostridial_toxin_suppression
A50.0,early_congenital_syphilis,penicillins(aqueous_crystalline_penicillin_G);penicillins(procaine_penicillin_G),tetracyclines(contraindicated_teeth_discoloration);ceftriaxone(risk_of_kernicterus_if_jaundiced),2,Treat_10_days;monitor_jarisch_herxheimer_reaction;evaluate_csf
A52.1,symptomatic_neurosyphilis,penicillins(aqueous_crystalline_penicillin_G_iv);probenecid(adjunct_to_procaine_penicillin),benzathine_penicillin_im(inadequate_csf_levels);macrolides(resistance),3,Requires_10_to_14_days_iv;repeat_lp_to_confirm_clearance;monitor_serology
A54.3,gonococcal_infection_of_eye,cephalosporins(ceftriaxone_iv_im);macrolides(azithromycin_oral_co_treatment);saline_irrigation,fluoroquinolones(high_resistance_rates);penicillins(high_resistance_rates),4,Ophthalmologic_emergency;treat_chlamydia_coinfection;contact_tracing
A57,chancroid,macrolides(azithromycin);cephalosporins(ceftriaxone);fluoroquinolones(ciprofloxacin),doxycycline(lower_efficacy_than_azithromycin);topical_antibiotics(ineffective),3,Haemophilus_ducreyi;painful_ulcer;treat_sexual_partners
A63.0,anogenital_warts,topical_immunomodulators(imiquimod);keratolytics(podophyllin_podofilox);trichloroacetic_acid,podophyllin(contraindicated_in_pregnancy);systemic_corticosteroids,3,HPV_etiology;screen_for_cervical_anal_cancer;recurrence_common
A69.2,lyme_disease,tetracyclines(doxycycline);penicillins(amoxicillin);cephalosporins(cefuroxime_axetil),first_gen_cephalosporins(ineffective);fluoroquinolones(not_first_line),3,Rare_in_Thailand_mostly_imported;erythema_migrans;treat_14_to_21_days
A82.9,rabies_unspecified,benzodiazepines(midazolam_diazepam);analgesics(morphine_fentanyl);antipsychotics(haloperidol),corticosteroids(shortens_survival);aggressive_life_support(futile_once_symptomatic),5,Uniformly_fatal_once_symptomatic;palliative_care_protocol_only;isolate_patient
A83.0,japanese_encephalitis,antipyretics(paracetamol);anticonvulsants(phenytoin_if_seizures);osmotic_diuretics(mannitol_if_high_icp),corticosteroids(no_proven_benefit);aspirin(bleeding_risk),4,Supportive_care;monitor_intracranial_pressure;vaccination_for_prevention
A87.0,enteroviral_meningitis,analgesics(paracetamol_ibuprofen);antiemetics;iv_fluids,antibiotics(discontinue_if_bacterial_ruled_out);aspirin(reye_syndrome_risk),4,Most_common_aseptic_meningitis;self_limiting;symptomatic_relief
B06.9,rubella_without_complication,antipyretics(paracetamol);analgesics,aspirin(reye_syndrome_children);antibiotics(viral_etiology),2,German_measles;isolation_droplet_precautions;avoid_contact_with_pregnant_women
B07,viral_warts,keratolytics(salicylic_acid);cryotherapy(liquid_nitrogen);topical_retinoids,systemic_steroids(may_disseminate);intralesional_bleomycin(caution_vascular_compromise),2,Cutaneous_HPV;mechanical_debridement;can_spontaneously_resolve
B17.1,acute_hepatitis_c,direct_acting_antivirals(sofosbuvir_velpatasvir_if_chronic_risk_high);hepatoprotectants,alcohol;hepatotoxic_drugs(high_dose_paracetamol_statins_caution),3,Monitor_rna_12_weeks_for_spontaneous_clearance;treat_if_persistence
B25.0,cytomegalovirus_pneumonitis,antivirals(ganciclovir_iv);antivirals(valganciclovir_oral);cmv_immunoglobulin,myelosuppressive_agents(monitor_cbc_closely);nephrotoxic_drugs,5,Common_in_transplant_recipients;monitor_viral_load;dose_adjust_renal
B27.0,gammaherpesviral_mononucleosis,analgesics(paracetamol);nsaids(ibuprofen);corticosteroids(airway_obstruction_only),aminopenicillins(ampicillin_amoxicillin_causes_rash);aspirin,3,Epstein_Barr_virus;avoid_contact_sports_splenic_rupture;fatigue_management
B33.0,epidemic_myalgia,nsaids(ibuprofen_indomethacin);analgesics(paracetamol),antibiotics(viral_etiology_coxsackie_b);opioids(usually_unnecessary),3,Bornholm_disease_pleurodynia;severe_chest_pain_mimics_mi;self_limiting
B35.4,tinea_corporis,topical_antifungals(clotrimazole_ketoconazole_terbinafine);oral_antifungals(itraconazole_extensive),topical_corticosteroids(tinea_incognito);nystatin(ineffective_for_dermatophytes),2,Ringworm;keep_area_dry;treat_2_weeks_after_resolution
B39.4,histoplasmosis_capsulati_unspecified,antifungals(itraconazole);antifungals(amphotericin_b_severe_cases),tnf_alpha_inhibitors(worsens_infection);corticosteroids(without_antifungal_cover),3,Exposure_to_bat_bird_droppings;monitor_liver_function_on_azoles
B44.1,invasive_pulmonary_aspergillosis,antifungals(voriconazole);antifungals(isavuconazole);echinocandins(caspofungin_salvage),fluconazole(intrinsic_resistance);corticosteroids(promotes_fungal_growth),5,Halo_sign_on_CT;monitor_galactomannan;therapeutic_drug_monitoring_voriconazole
B52.9,malaria_plasmodium_malariae,antimalarials(chloroquine);antimalarials(dihydroartemisinin_piperaquine),primaquine(not_indicated_for_p_malariae_radical_cure_unlike_vivax),3,72_hour_fever_cycle;rule_out_mixed_infection_with_falciparum;monitor_parasitemia
B65.0,schistosomiasis_haematobium,anthelmintics(praziquantel),corticosteroids(unless_acute_katayama_syndrome_reaction);nsaids(caution_renal),2,Urinary_schistosomiasis;check_hematuria;follow_up_egg_count
B68.0,taenia_solium_taeniasis,anthelmintics(praziquantel_or_niclosamide);laxatives(purge_segments),treatment_before_ruling_out_neurocysticercosis(risk_of_seizures_from_inflammation),3,Pork_tapeworm;contact_precautions_stool;differentiate_from_cysticercosis
B85.0,pediculosis_capitis,pediculicides(permethrin_lotion);pediculicides(malathion);oral_ivermectin(resistant),lindane(neurotoxicity_banned_in_many_places);kerosene(unsafe),2,Head_lice;wet_combing_nits;treat_household_contacts
C01,malignant_neoplasm_base_of_tongue,chemotherapy(cisplatin_fluorouracil);monoclonal_antibodies(cetuximab_if_recurrent);opioids(morphine_fentanyl);antiemetics(ondansetron_dexamethasone),cisplatin(if_renal_impairment);bleomycin(if_pulmonary_fibrosis),6,Multimodal_therapy_often_combined_with_radiation;nutritional_support_crucial_due_to_mucositis
C07,malignant_neoplasm_parotid_gland,chemotherapy(cisplatin_doxorubicin_cyclophosphamide_in_advanced_cases);analgesics(paracetamol_tramadol),aminoglycosides(ototoxicity_risk_amplified_with_cisplatin);anticholinergics(worsens_xerostomia),4,Surgery_is_primary_treatment;chemotherapy_role_limited_to_high_grade_or_metastatic;facial_nerve_monitoring
C17.0,malignant_neoplasm_duodenum,chemotherapy(oxaliplatin_fluorouracil_leucovorin);chemotherapy(capecitabine);antiemetics(metoclopramide),nsaids(bleeding_risk_in_gi_tumors);oxaliplatin(if_preexisting_neuropathy),5,Treatment_protocols_often_extrapolated_from_colorectal_cancer_guidelines_FOLFOX
C19,malignant_neoplasm_rectosigmoid_junction,chemotherapy(fluorouracil_leucovorin_oxaliplatin);monoclonal_antibodies(bevacizumab_panitumumab);stool_softeners(lactulose),nsaids(gastrointestinal_bleeding);warfarin(interaction_with_chemo);irinotecan(if_gilberts_syndrome),6,Preoperative_chemoradiation_may_be_indicated;monitor_liver_function_for_metastasis
C21.1,malignant_neoplasm_anal_canal,chemotherapy(mitomycin_fluorouracil);chemotherapy(capecitabine);topical_corticosteroids(radiation_dermatitis),live_vaccines(immunocompromised_state);suppositories(avoid_mechanical_trauma_during_acute_treatment),5,Nigro_protocol_standard_chemoradiation;high_cure_rate_without_surgery
C23,malignant_neoplasm_gallbladder,chemotherapy(gemcitabine_cisplatin);chemotherapy(capecitabine);opioids(oxycodone),cisplatin(renal_failure_from_obstructive_jaundice);hepatotoxic_drugs(isoniazid_high_dose_paracetamol),5,Poor_prognosis;biliary_drainage_often_required_before_chemotherapy;gemcitabine_cisplatin_standard
C24.0,malignant_neoplasm_extrahepatic_bile_duct,chemotherapy(gemcitabine_cisplatin_oxaliplatin);chemotherapy(fluorouracil);analgesics(fentanyl_patch),warfarin(fluctuating_inr_due_to_liver_function);nephrotoxic_agents(contrast_media_care),5,Cholangiocarcinoma;monitor_bilirubin_levels_closely;adjuvant_capecitabine_post_resection
C38.4,malignant_neoplasm_mediastinum,chemotherapy(cisplatin_doxorubicin_cyclophosphamide);corticosteroids(prednisolone_for_thymoma_mass_effect),bleomycin(pulmonary_toxicity_risk_near_radiation_field);live_vaccines,5,Includes_thymoma_and_thymic_carcinoma;watch_for_myasthenia_gravis_complications
C40.2,malignant_neoplasm_long_bones_lower_limb,chemotherapy(methotrexate_high_dose);chemotherapy(doxorubicin_cisplatin);antiemetics(aprepitant),nsaids(delayed_methotrexate_excretion);sulfonamides(methotrexate_toxicity);doxorubicin(if_low_ejection_fraction),6,Osteosarcoma_protocol_MAP;requires_aggressive_hydration_and_leucovorin_rescue_for_methotrexate
C45.0,mesothelioma_pleura,chemotherapy(pemetrexed_cisplatin);vitamin_supplements(folic_acid_b12_mandatory_with_pemetrexed);antiemetics,nsaids(reduces_pemetrexed_clearance);nephrotoxic_antibiotics(aminoglycosides),5,Occupational_asbestos_history;folic_acid_and_B12_prevent_severe_toxicity_from_pemetrexed
C46.0,kaposi_sarcoma_skin,antiretrovirals(haart_if_hiv_positive);chemotherapy(liposomal_doxorubicin);taxanes(paclitaxel),corticosteroids(can_exacerbate_ks_lesions);strong_cyp3a4_inhibitors(check_interactions),6,Often_associated_with_HIV;reconstitution_of_immune_system_is_primary_therapy
C51.9,malignant_neoplasm_vulva,chemotherapy(cisplatin_fluorouracil_mitomycin);topical_care(lidocaine_gel);analgesics,topical_irritants(strong_soaps_alcohol);anticoagulants(if_ulcerated_bleeding_lesions),4,Chemoradiation_often_used_to_preserve_sphincter_function;monitor_for_radiation_dermatitis
C52,malignant_neoplasm_vagina,chemotherapy(cisplatin_paclitaxel);radiation_sensitizers;vaginal_dilators(post_treatment),tamoxifen(risk_of_thrombosis_during_immobility);estrogen_creams(unless_specified),4,Rare_tumor;treatment_similar_to_cervical_or_anal_cancer_depending_on_histology
C58,malignant_neoplasm_placenta,chemotherapy(methotrexate_folinic_acid);chemotherapy(etoposide_dactinomycin);contraceptives(during_follow_up),folic_acid_supplements(interferes_with_methotrexate_efficacy);live_vaccines,5,Choriocarcinoma;monitor_beta_hCG_levels_closely;EMA_CO_regimen_for_high_risk
C60.9,malignant_neoplasm_penis,chemotherapy(paclitaxel_ifosfamide_cisplatin);topical_chemo(fluorouracil_imiquimod_early_stage),strong_opioids(without_laxatives);nephrotoxins(cisplatin_risk),4,Rare_malignancy;TIP_regimen_for_advanced_disease;psychological_support_important
C65,malignant_neoplasm_renal_pelvis,chemotherapy(gemcitabine_cisplatin);immunotherapy(pembrolizumab_nivolumab);antiemetics,nsaids(nephrotoxicity_in_single_kidney_patients);cisplatin(if_gfr_low),4,Urothelial_carcinoma_behavior;preserve_remaining_renal_function_crucial
C66,malignant_neoplasm_ureter,chemotherapy(dose_dense_mvac);chemotherapy(gemcitabine_carboplatin);colony_stimulating_factors(filgrastim),aminoglycosides(renal_toxicity);herbal_nephrotoxins(aristolochic_acid),5,Nephroureterectomy_standard;adjuvant_chemotherapy_based_on_pathology
C69.2,malignant_neoplasm_retina,chemotherapy(vincristine_etoposide_carboplatin);local_therapy(topical_steroids_post_focal),cisplatin(ototoxicity_compounding_hearing_loss_risks);oxygen(high_concentration_in_neonates_risk_rop_confusion),4,Retinoblastoma;chemoreduction_to_avoid_enucleation;genetic_counseling_mandatory
C74.0,malignant_neoplasm_adrenal_cortex,adrenolytic_agents(mitotane);chemotherapy(etoposide_doxorubicin_cisplatin);corticosteroids(replacement_therapy),spironolactone(interferes_with_mineralocorticoid_assessment);cyp3a4_substrates(mitotane_induces_metabolism),6,Mitotane_requires_monitoring_of_drug_levels_and_cortisol_replacement;EDP_regimen
C82.9,follicular_lymphoma,monoclonal_antibodies(rituximab_obinutuzumab);alkylating_agents(bendamustine_cyclophosphamide);corticosteroids(prednisolone),live_vaccines;tnf_inhibitors(immunosuppression_overlap);nephrotoxic_agents(tumor_lysis_risk),5,Indolent_lymphoma;watch_and_wait_common_if_asymptomatic;R_Bendamustine_or_R_CHOP
C84.0,mycosis_fungoides,topical_corticosteroids(clobetasol);retinoids(bexarotene);chemotherapy(methotrexate_low_dose),systemic_immunosuppressants(may_accelerate_progression_unless_specific_protocol);phototoxic_drugs(if_receiving_puva),4,Cutaneous_T_cell_lymphoma;skin_directed_therapies_first_line;monitor_lipid_profile_with_bexarotene
C88.0,waldenstrom_macroglobulinemia,btk_inhibitors(ibrutinib);monoclonal_antibodies(rituximab);alkylating_agents(cyclophosphamide),nsaids(platelet_dysfunction_risk);warfarin(interaction_with_ibrutinib);live_vaccines,4,Hyperviscosity_syndrome_risk;plasmapheresis_may_be_needed_before_rituximab_to_prevent_igm_flare
C91.4,hairy_cell_leukemia,purine_analogs(cladribine_pentostatin);monoclonal_antibodies(rituximab_refractory);antivirals(acyclovir_prophylaxis),live_vaccines;nephrotoxic_agents(dose_adjust_cladribine);allopurinol(skin_rash_risk_with_pentostatin),4,High_response_rate_to_purine_analogs;monitor_for_prolonged_immunosuppression
C93.1,chronic_myelomonocytic_leukemia,hypomethylating_agents(azacitidine_decitabine);antimetabolites(hydroxyurea);supportive_care(transfusions),erythropoiesis_stimulating_agents(caution_if_blasts_high);live_vaccines,4,Overlap_mds_mpn_syndrome;hydroxyurea_for_cytoreduction;allogeneic_transplant_only_cure
C94.0,acute_erythroid_leukemia,chemotherapy(cytarabine_daunorubicin_idarubicin);antifungals(posaconazole_prophylaxis);antibiotics(febrile_neutropenia),cardiotoxic_drugs(monitoring_with_anthracyclines);live_vaccines;nsaids(bleeding_risk),6,Rare_subtype_of_AML;treated_with_standard_induction_7_plus_3_regimen;high_relapse_risk
D17.9,benign_lipomatous_neoplasm,analgesics(paracetamol_if_painful);no_pharmacotherapy_standard,lipolysis_injections(phosphatidylcholine_unregulated_use_risky),1,Benign_lipoma;surgical_excision_if_symptomatic_or_growing;reassurance_primary
D18.0,hemangioma,beta_blockers(propranolol_oral_solution);corticosteroids(prednisolone_if_resistant);topical_beta_blockers(timolol),calcium_channel_blockers(cardiac_risk_with_propranolol);asthma_medications(beta_blocker_contraindication),3,Infantile_hemangioma_standard_of_care_is_propranolol;monitor_heart_rate_glucose_bp
D35.2,benign_neoplasm_pituitary_gland,dopamine_agonists(cabergoline_bromocriptine_for_prolactinoma);somatostatin_analogs(octreotide_for_acromegaly),dopamine_antagonists(metoclopramide_antipsychotics_raise_prolactin);stimulants,3,Prolactinomas_managed_medically;visual_field_testing_required_if_macroadenoma
D45,polycythemia_vera,antimetabolites(hydroxyurea);antiplatelets(low_dose_aspirin);jak_inhibitors(ruxolitinib_second_line),iron_supplements(unless_deficiency_proven);androgens(worsens_polycythemia),4,Phlebotomy_is_mainstay;maintain_hematocrit_below_45_percent;prevent_thrombosis
D47.1,chronic_myeloproliferative_disease,antimetabolites(hydroxyurea);antiplatelets(aspirin);interferons(pegylated_interferon),estrogens(thrombosis_risk);corticosteroids(variable_effect),3,Includes_essential_thrombocythemia_and_myelofibrosis_precursors;thrombosis_prophylaxis_key
D50.8,other_iron_deficiency_anemias,oral_iron(ferrous_sulfate_or_fumarate);IV_iron(iron_sucrose_or_ferric_carboxymaltose);ascorbic_acid(vitamin_C),proton_pump_inhibitors(reduce_absorption);antacids(calcium_carbonate);tetracyclines(chelation_interaction),4,Diagnose_underlying_cause_of_blood_loss_or_malabsorption;monitor_ferritin_and_transferrin_saturation
D51.1,vitamin_b12_deficiency_malabsorption,parenteral_vitamin_B12(cyanocobalamin_or_hydroxocobalamin);oral_vitamin_B12(high_dose_only_if_partial_absorption),folic_acid_monotherapy(masks_neuro_symptoms);metformin(may_worsen_absorption);colchicine,3,Includes_Imerslund_Grasbeck_syndrome_with_proteinuria;lifelong_supplementation_often_required
D52.1,drug_induced_folate_deficiency,folic_acid_supplements;folinic_acid(leucovorin_for_methotrexate_toxicity),trimethoprim;sulfonamides;phenytoin;methotrexate(without_rescue);alcohol,4,Identify_and_withdraw_offending_agent_if_possible;monitor_homocysteine
D53.0,protein_deficiency_anemia,nutritional_supplements(high_protein_formula);amino_acids(IV_parenteral_nutrition);multivitamins,diuretics(risk_in_hypoalbuminemia);laxatives,5,Correct_protein_energy_malnutrition;monitor_albumin_and_prealbumin;refeeding_syndrome_risk
D56.2,delta_beta_thalassemia,folic_acid;blood_transfusions(if_symptomatic_anemia);iron_chelators(deferasirox_if_iron_overload),iron_supplements(unless_proven_deficiency);sulfonamides(if_G6PD_coexists),4,Often_milder_than_thalassemia_major;monitor_hemoglobin_electrophoresis_and_ferritin
D56.3,thalassemia_trait,folic_acid(optional_in_pregnancy);genetic_counseling_support,iron_therapy(contraindicated_unless_concomitant_deficiency);oxidant_drugs(caution),2,Asymptomatic_carriers;critical_to_avoid_misdiagnosis_as_iron_deficiency
D58.1,hereditary_elliptocytosis,folic_acid;erythropoiesis_stimulating_agents(rarely);analgesics(post_splenectomy),oxidant_drugs(if_comorbid_G6PD);sulfonamides,3,Majority_asymptomatic;hemolysis_may_worsen_during_infection_or_pregnancy
D59.0,drug_induced_autoimmune_hemolytic_anemia,corticosteroids(prednisolone);IVIG(severe_cases);immunosuppressants(rituximab_refractory),cephalosporins(potential_cause);methyldopa;penicillins;quinidine,5,Direct_Coombs_positive;stop_causative_drug_immediately
D59.2,drug_induced_nonautoimmune_hemolytic_anemia,antioxidants;IV_fluids(hydration);folic_acid,dapsone;nitrofurantoin;phenazopyridine;primaquine;sulfonamides,4,Oxidative_hemolysis_mechanism;common_in_G6PD_deficiency_patients;monitor_urine_output
D60.1,transient_acquired_pure_red_cell_aplasia,PRBC_transfusion(supportive);IVIG(if_immunocompromised),myelosuppressive_chemotherapy;azathioprine;phenytoin,3,Often_associated_with_Parvovirus_B19;spontaneous_recovery_common_in_children
D61.0,constitutional_aplastic_anemia,androgens(oxymetholone_or_danazol);hematopoietic_growth_factors(G_CSF);antibiotics(prophylaxis),cytotoxic_agents(DNA_cross_linking_agents);chloramphenicol;NSAIDs(platelet_risk),6,Includes_Fanconi_anemia;genetic_workup_essential;prepare_for_HSCT
D61.1,drug_induced_aplastic_anemia,immunosuppressants(cyclosporine_antithymocyte_globulin);thrombopoietin_receptor_agonists(eltrombopag),carbamazepine;gold_salts;penicillamine;chloramphenicol;sulfonamides,5,Remove_offending_agent_immediately;bone_marrow_biopsy_required_for_diagnosis
D64.2,secondary_sideroblastic_anemia_toxins,pyridoxine(vitamin_B6_high_dose);chelation_agents(if_lead_poisoning),isoniazid(antagonist);linezolid;chloramphenicol;alcohol;iron_supplements(overload_risk),4,Assess_for_lead_toxicity_or_alcoholism;monitor_iron_status
D68.1,hereditary_factor_XI_deficiency,antifibrinolytics(tranexamic_acid);fresh_frozen_plasma;factor_XI_concentrates(if_available),aspirin;NSAIDs;anticoagulants(heparin_warfarin),4,Hemophilia_C;bleeding_risk_not_always_correlated_with_factor_levels
D68.3,hemorrhagic_disorder_circulating_anticoagulants,bypassing_agents(FEIBA_or_rFVIIa);corticosteroids(prednisolone);cyclophosphamide;rituximab,standard_factor_concentrates(ineffective);desmopressin(limited_use);IM_injections,6,Acquired_hemophilia;emergency_control_of_bleeding_and_inhibitor_eradication
D68.4,acquired_coagulation_factor_deficiency,vitamin_K(phytomenadione);fresh_frozen_plasma;prothrombin_complex_concentrate,warfarin(exacerbates);broad_spectrum_antibiotics(reduce_vitamin_K);salicylates,5,Common_in_liver_disease_or_malabsorption;monitor_PT_INR_and_APTT
D69.5,secondary_thrombocytopenia,platelet_transfusions(if_critical_bleed);folic_acid;IVIG(if_post_transfusion_purpura),heparin(hit_risk);quinine;vancomycin;aspirin;NSAIDs;valproic_acid,5,Identify_underlying_cause_infection_drug_or_hypersplenism
D72.1,eosinophilia,corticosteroids(prednisolone);antiparasitics(albendazole_ivermectin);tyrosine_kinase_inhibitors(imatinib_if_clonal),corticosteroids_monotherapy(if_strongyloides_suspected);DRESS_syndrome_causing_drugs,4,Rule_out_parasitic_infection_and_drug_hypersensitivity_before_steroids
D80.1,nonfamilial_hypogammaglobulinemia,IVIG_or_SCIG(immunoglobulin_replacement);prophylactic_antibiotics(azithromycin_or_cotrimoxazole),live_attenuated_vaccines(OPV_BCG_MMR);corticosteroids;immunosuppressants,4,Monitor_trough_IgG_levels;aggressive_treatment_of_bacterial_infections
D86.3,sarcoidosis_of_skin,topical_corticosteroids;intralesional_triamcinolone;antimalarials(hydroxychloroquine);methotrexate,systemic_steroids_long_term(avoid_if_only_cutaneous);calcium_supplements(hypercalcemia_risk),4,Lupus_pernio_variant_may_be_recalcitrant;screen_for_pulmonary_involvement
A00.0,cholera_due_to_vibrio_cholerae_01,oral_rehydration_salts;antibiotics(doxycycline_or_azithromycin);IV_fluids(ringers_lactate_if_severe),antimotility_agents(loperamide);diuretics,3,Rice_water_stools;aggressive_rehydration_is_cornerstone;antibiotics_shorten_duration
A01.1,paratyphoid_fever_a,antibiotics(ceftriaxone_or_azithromycin);antipyretics(paracetamol),fluoroquinolones(if_resistant);aspirin(bleeding_risk),3,Treat_similar_to_typhoid;increasing_quinolone_resistance_in_Asia
A03.1,shigellosis_due_to_shigella_flexneri,antibiotics(ciprofloxacin_or_azithromycin_or_ceftriaxone);oral_rehydration,antimotility_agents(loperamide_risk_of_megacolon);aminoglycosides(oral_poorly_absorbed),3,Dysentery_bloody_diarrhea;antibiotics_recommended_to_reduce_transmission
A04.5,campylobacter_enteritis,macrolides(azithromycin);hydration;antipyretics,fluoroquinolones(high_resistance_rates);antimotility_drugs(if_bloody_stool),3,Often_self_limiting;treat_if_severe_or_immunocompromised;poultry_vector
A05.1,botulism,botulinum_antitoxin;supportive_care,aminoglycosides(potentiate_neuromuscular_blockade);clindamycin,2,Medical_emergency;monitor_respiratory_mechanics;home_canned_food_history
A05.3,food_poisoning_vibrio_parahaemolyticus,oral_rehydration;antibiotics(doxycycline_only_if_severe),antimotility_agents;gastric_acid_suppressants(may_worsen_infection),3,Associated_with_raw_seafood;usually_self_limiting
A06.1,chronic_intestinal_amebiasis,tissue_amebicides(metronidazole_or_tinidazole);luminal_amebicides(paromomycin_or_diloxanide),corticosteroids(risk_of_fulminant_colitis);loperamide,3,Must_treat_luminal_cysts_to_prevent_relapse_or_transmission
A06.4,amebic_liver_abscess,nitroimidazoles(metronidazole);luminal_agent(paromomycin_follow_up),antibiotics_without_anaerobic_coverage(ineffective),3,Anchovy_paste_aspirate;drainage_if_risk_of_rupture;exclude_pyogenic_abscess
A07.2,cryptosporidiosis,antiprotozoals(nitazoxanide);antiretrovirals(if_HIV_associated);hydration,immunosuppressants;opioid_antidiarrheals(use_caution),4,Chronic_diarrhea_in_AIDS;immune_reconstitution_is_key_therapy
A08.1,acute_gastroenteropathy_due_to_norovirus,oral_rehydration_salts;antiemetics(ondansetron),antibiotics(viral_etiology);NSAIDs(gastric_irritation),3,Highly_contagious;hand_hygiene_soap_water_crucial;alcohol_gel_ineffective
A17.1,meningeal_tuberculoma,antituberculars(isoniazid;rifampicin;pyrazinamide;ethambutol);corticosteroids(dexamethasone),fluoroquinolones_monotherapy(masks_TB);ethambutol(if_optic_neuritis),6,CNS_penetration_of_drugs_critical;long_duration_treatment_12_months_plus
A18.2,tuberculous_peripheral_lymphadenopathy,antituberculars(HRZE_regimen),steroids_without_antituberculars;macrolides_monotherapy,4,Scrofula;paradoxical_enlargement_possible_during_treatment
A24.1,acute_melioidosis,intensive_phase(ceftazidime_or_meropenem_IV);eradication_phase(trimethoprim_sulfamethoxazole),penicillin_G(resistant);aminoglycosides(ineffective);first_gen_cephalosporins,4,Endemic_in_NE_Thailand;diabetes_major_risk_factor;prolonged_oral_treatment_required
A30.1,tuberculoid_leprosy,multidrug_therapy(rifampicin;dapsone),dapsone_monotherapy(resistance);steroids_without_antibiotics,3,Paucibacillary;screen_G6PD_before_dapsone;treat_6_months_WHO_protocol
