icd_code,diagnosis_group,expected_diagnostics,conditional_diagnostics,unnecessary_diagnostics,max_diagnostic_count,clinical_pathway_source,notes
E00.2,congenital_iodine_deficiency_mixed,tsh;free_t4,developmental_assessment;nutritional_assessment;urine_iodine,biopsy,4,who_guidelines,Mixed features of neurological and myxedematous cretinism
E00.9,congenital_iodine_deficiency_unspecified,tsh;free_t4,urine_iodine(population_monitoring_context);thyroid_ultrasound,pet_scan,4,who_guidelines,Congenital iodine deficiency syndrome NOS
E01.0,iodine_deficiency_diffuse_goiter,tsh;free_t4;neck_palpation,thyroid_ultrasound(if_nodularity_suspected);urine_iodine(epidemiological),thyroid_scan(unless_toxic_signs);fna_biopsy(unless_nodule),4,moph_thailand_endocrine,Endemic diffuse goiter; iodine replacement indicated
E01.1,iodine_deficiency_multinodular_goiter,tsh;free_t4;thyroid_ultrasound,fna_biopsy(if_suspicious_nodule);ct_neck(if_retrosternal_extension),calcitonin(unless_medullary_risk),5,moph_thailand_endocrine,Endemic multinodular goiter; rule out malignancy in dominant nodules
E01.2,iodine_deficiency_goiter_unspecified,tsh;free_t4,thyroid_peroxidase_antibodies(exclude_autoimmune);ultrasound_thyroid,mri_neck,4,moph_thailand_endocrine,Goiter related to iodine deficiency NOS
E01.8,other_iodine_deficiency_thyroid_disorders,tsh;free_t4;urine_iodine,lipid_profile(if_hypothyroid_state);thyroglobulin,liver_biopsy,4,who_guidelines,Subclinical deficits or other manifestations
E03.0,congenital_hypothyroidism_diffuse_goiter,tsh;free_t4;newborn_screening_confirmation,thyroid_ultrasound;thyroid_scan(determine_etiology),ct_brain,5,moph_thailand_endocrine,Goitrous congenital hypothyroidism; dyshormonogenesis likely
E03.1,congenital_hypothyroidism_no_goiter,tsh;free_t4,thyroid_scan(check_agenesis_ectopy);thyroglobulin(etiology),neck_palpation(if_agenesis_confirmed_by_scan),4,moph_thailand_endocrine,Aplasia or hypoplasia of thyroid
E03.2,iatrogenic_hypothyroidism,tsh;free_t4,ecg(if_amiodarone_induced);lithium_level(if_lithium_induced),thyroid_scan;thyroid_antibody(unless_underlying_autoimmune_suspected),4,moph_thailand_endocrine,Due to medicaments or exogenous substances
E03.3,post_infectious_hypothyroidism,tsh;free_t4;esr,c_reactive_protein;complete_blood_count,blood_culture(unless_suppurative_signs),5,moph_thailand_general,Sequelae of thyroiditis; usually resolves but can be permanent
E03.4,atrophy_of_thyroid_acquired,tsh;free_t4;anti_tpo_antibodies,lipid_profile(dyslipidemia_check);ana(if_autoimmune_polyglandular),thyroid_scan,5,moph_thailand_endocrine,End stage autoimmune thyroiditis
E03.5,myxedema_coma,tsh;free_t4;cortisol;serum_electrolytes;glucose,arterial_blood_gas(respiratory_failure);ct_head(rule_out_stroke);sepsis_workup,thyroid_ultrasound(urgent_treatment_priority),7,moph_thailand_emergency,Life-threatening hypothyroidism; glucocorticoids before thyroxine
E03.8,other_specified_hypothyroidism,tsh;free_t4,trh_stimulation_test(central_hypothyroidism_investigation);mri_pituitary(if_secondary),thyroid_uptake_scan,4,moph_thailand_endocrine,Includes central or secondary hypothyroidism
E03.9,hypothyroidism_unspecified,tsh;free_t4,anti_tpo_antibodies(determine_cause);lipid_profile;ck(if_myopathy),ct_neck,5,moph_thailand_endocrine,Primary hypothyroidism NOS
E04.8,other_specified_nontoxic_goiter,tsh;thyroid_ultrasound,fna_biopsy(if_nodule_criteria_met);ct_neck(compression_symptoms),thyroid_scan(if_tsh_normal),4,moph_thailand_endocrine,Simple goiter with specific features
E04.9,nontoxic_goiter_unspecified,tsh;neck_palpation,thyroid_ultrasound(if_palpable_abnormality);free_t4,pet_scan,4,moph_thailand_endocrine,Enlarged thyroid euthyroid state
E05.1,thyrotoxicosis_toxic_single_nodule,tsh;free_t4;thyroid_scan;thyroid_ultrasound,free_t3;fna_biopsy(if_cold_nodule_found_coexisting),anti_tpo_antibodies(usually_negative),6,moph_thailand_endocrine,Plummer's disease (solitary toxic adenoma)
E05.3,thyrotoxicosis_ectopic_tissue,tsh;free_t4;thyroid_scan,ct_chest(if_mediastinal_mass);ovarian_ultrasound(struma_ovarii),neck_ultrasound(if_uptake_not_in_neck),5,moph_thailand_endocrine,Tissue outside normal location causing hyperthyroidism
E05.4,thyrotoxicosis_factitia,tsh;free_t4;thyroglobulin,thyroid_scan(shows_low_uptake);psychiatry_consult,thyroid_ultrasound;trab_antibodies,5,moph_thailand_endocrine,Exogenous hormone ingestion; low thyroglobulin is key
E05.8,other_thyrotoxicosis,tsh;free_t4;free_t3,esr(if_thyroiditis_suspected);hcg(if_gestational_or_molar);thyroid_scan,lipid_profile,6,moph_thailand_endocrine,Causes like TSH-secreting pituitary adenoma or HCG mediated
E05.9,thyrotoxicosis_unspecified,tsh;free_t4;free_t3,trab_antibodies(graves_check);thyroid_scan;beta_blocker_trial,ct_brain,5,moph_thailand_endocrine,Hyperthyroidism NOS; establish etiology
E06.2,chronic_thyroiditis_transient_thyrotoxicosis,tsh;free_t4;anti_tpo_antibodies,esr;thyroid_ultrasound(heterogeneous_echotexture),thyroid_scan(often_low_uptake_phase),5,moph_thailand_endocrine,Hashitoxicosis; transient phase of Hashimoto's
E06.9,thyroiditis_unspecified,tsh;free_t4;anti_tpo_antibodies,esr(painful);crp;thyroid_ultrasound,biopsy(unless_mass_effect_or_asymmetry),6,moph_thailand_endocrine,Inflammation of thyroid NOS
I05.1,rheumatic_mitral_insufficiency,echocardiogram;ecg;chest_xray;cbc;electrolytes,inr(if_afib_or_warfarin);troponin(if_acute_decompensation);holter_monitor(if_palpitations),ct_brain;tumor_markers,7,moph_thailand_cardiology,Monitor for atrial fibrillation and heart failure
I05.8,other_mitral_valve_diseases,echocardiogram;ecg;chest_xray,transesophageal_echo(if_vegetation_or_thrombus_suspected);stress_echo(if_symptoms_equivocal),mri_abdomen;bone_scan,5,general,Includes non-rheumatic mitral disorders unspecified
I06.2,rheumatic_aortic_insufficiency,echocardiogram;ecg;chest_xray;bp_monitoring,cardiac_mri(if_echo_poor_quality);aortic_angiogram(pre_surgery);inr(if_mechanical_valve),lung_biopsy;eeg,6,moph_thailand_cardiology,Assess LV dimensions and function for surgical timing
I07.0,tricuspid_stenosis,echocardiogram;ecg;liver_function_test,right_heart_catheterization(hemodynamics);abdominal_ultrasound(if_liver_congestion),ct_head;colonoscopy,5,general,Rare in isolation; usually rheumatic
I07.2,tricuspid_stenosis_with_insufficiency,echocardiogram;ecg;chest_xray;liver_function_test,coagulation_panel(if_liver_dysfunction);right_heart_catheterization,thyroid_ultrasound,6,moph_thailand_cardiology,Check for peripheral edema and ascites
I08.1,mitral_and_tricuspid_valve_disorders,echocardiogram;ecg;chest_xray;cbc;electrolytes;liver_function_test,inr(if_afib);b_natriuretic_peptide(if_heart_failure);cardiac_catheterization(pre_op),mammogram;joint_xray,8,moph_thailand_cardiology,Multivalvular disease assessment
I08.2,aortic_and_tricuspid_valve_disorders,echocardiogram;ecg;chest_xray,coronary_angiogram(pre_valve_surgery_age_dependent);stress_test(functional_capacity),serum_amylase,6,general,Complex hemodynamic interaction
I08.3,combined_mitral_aortic_tricuspid_disorders,echocardiogram;ecg;chest_xray;cbc;kidney_function_test;liver_function_test,cardiac_catheterization(full_hemodynamic_study);cardiac_mri,pet_scan,8,moph_thailand_cardiology,Rheumatic heart disease typical presentation
I09.0,rheumatic_myocarditis,ecg;echocardiogram;troponin;esr;crp;aso_titer,cardiac_mri(tissue_characterization);endomyocardial_biopsy(refractory_cases),ct_colonography,7,moph_thailand_cardiology,Active rheumatic activity markers
I09.1,rheumatic_endocarditis_unspecified,echocardiogram;blood_culture;ecg;esr;crp,transesophageal_echo(if_vegetation_suspected);cbc(leukocytosis),myelogram,6,moph_thailand_cardiology,Rule out infective endocarditis superinfection
I27.1,kyphoscoliotic_heart_disease,chest_xray;ecg;echocardiogram;pulmonary_function_test;arterial_blood_gas,ct_chest(lung_structure);sleep_study(if_hypoventilation_suspected);b_natriuretic_peptide,colonoscopy;iv_pyelogram,8,general,Cor pulmonale due to chest wall deformity
I27.8,other_specified_pulmonary_heart_diseases,echocardiogram;ecg;chest_xray;b_natriuretic_peptide,vq_scan(if_chronic_thromboembolism_suspected);right_heart_catheterization(confirm_pulmonary_hypertension),mri_knee,6,moph_thailand_cardiology,Includes Eisenmenger complex if not congenital code
I28.0,av_fistula_pulmonary_vessels,chest_xray;ct_chest_angiogram;echocardiogram;arterial_blood_gas,pulmonary_angiogram(intervention_planning);bubble_study_echo(shunt_detection),upper_gi_endoscopy,6,general,Check for hereditary hemorrhagic telangiectasia
I28.1,aneurysm_pulmonary_artery,ct_chest_angiogram;echocardiogram;chest_xray,mri_heart(surveillance);rheumatoid_factor(if_vasculitis_suspected);esr,thyroid_scan,6,general,Rare; exclude Behçet's or connective tissue disease
I30.9,acute_pericarditis_unspecified,ecg;chest_xray;echocardiogram;esr;crp;troponin,ana_test(if_autoimmune_suspected);blood_culture(if_fever);viral_panel,coronary_angiogram(unless_ischemia_suspected),8,moph_thailand_cardiology,"Diagnostic criteria: chest pain, friction rub, ECG changes, effusion"
I31.2,hemopericardium,echocardiogram;chest_xray;coagulation_panel;cbc;cross_match,ct_chest(identify_source);pericardiocentesis(fluid_analysis);aortic_angiogram(rule_out_dissection),colonoscopy;spirometry,7,general,Rule out aortic dissection and trauma
I31.4,cardiac_tamponade,echocardiogram;ecg;chest_xray;blood_gas,pericardiocentesis(stat_therapeutic_and_diagnostic);coagulation_panel;fluid_cytology,stress_test,6,moph_thailand_cardiology,Medical emergency; Beck's triad
I67.5,moyamoya_disease,mri_brain;mri_angiogram_brain;dsa_cerebral,eeg(if_seizures);acetazolamide_challenge_spect(vascular_reserve);cbc,thrombolysis(usually_contraindicated),6,moph_thailand_neurology,Puff of smoke appearance on angio
I67.6,cerebral_venous_thrombosis,mri_venogram;ct_venogram;coagulation_panel;cbc;d_dimer,thrombophilia_screen(protein_c_s_antithrombin);lumbar_puncture(if_high_icp_suspected),carotid_doppler,7,moph_thailand_neurology,Consider in young patients with headache
I77.1,stricture_of_artery,duplex_ultrasound;ct_angiogram;ankle_brachial_index,digital_subtraction_angiography(intervention_planning);lipid_profile,eeg,5,general,Evaluate flow limitation
I77.2,rupture_of_artery,ct_angiogram;cbc;cross_match;coagulation_panel,ultrasound_fast(if_abdominal_trauma);emergency_surgery_prep,mri_spine,5,general,Emergency vascular condition
I95.0,idiopathic_hypotension,ecg;bp_monitoring_orthostatic;cortisol_morning;cbc;electrolytes,tilt_table_test;echocardiogram(structural_check);acth_stimulation_test,coronary_angiogram;ct_calcium_score,7,general,Exclude adrenal insufficiency and dehydration
I97.1,postcardiac_surgery_functional_disturbance,echocardiogram;ecg;b_natriuretic_peptide;cbc;creatinine,ct_chest(if_effusion_or_infection_suspected);holter_monitor(arrhythmia);inr(if_warfarin),colonoscopy,7,moph_thailand_cardiology,Follow up for heart failure or tamponade post-op
I32.0,pericarditis_in_bacterial_diseases,echocardiogram;blood_culture;cbc;esr;crp;chest_xray,pericardial_fluid_analysis(gram_stain_culture);ct_chest(if_loculated_effusion),stress_test,7,general,Purulent pericarditis requires drainage
I34.8,other_nonrheumatic_mitral_disorders,echocardiogram;ecg,holter_monitor(if_palpitations);cardiac_mri(mitral_annular_disjunction);stress_echo,bronchoscopy,5,general,Includes mitral valve prolapse not specified as such
I35.8,other_nonrheumatic_aortic_disorders,echocardiogram;ecg;chest_xray,ct_aorta(if_root_dilation_suspected);tee(if_acoustic_window_poor),liver_biopsy,5,general,Monitor aortic root dimensions
I36.0,nonrheumatic_tricuspid_stenosis,echocardiogram;ecg,ct_abdomen(if_carcinoid_suspected);5_hiaa_urine(carcinoid);rheumatoid_factor,mammogram,5,general,Rare; consider carcinoid or connective tissue disease
I36.2,nonrheumatic_tricuspid_stenosis_insufficiency,echocardiogram;ecg;liver_function_test,right_heart_catheterization;autoimmune_panel,eeg,5,general,Assess secondary hepatic congestion
I37.1,pulmonary_valve_insufficiency,echocardiogram;ecg;cardiac_mri,exercise_test(functional_capacity);holter_monitor(if_arrhythmia_risk),colonoscopy,5,moph_thailand_cardiology,Common late complication of Tetralogy of Fallot repair
I37.2,pulmonary_valve_stenosis_insufficiency,echocardiogram;ecg;cardiac_mri,cardiac_catheterization(gradient_measurement);balloon_valvuloplasty_assessment,gastroscopy,5,general,Mixed valve lesion assessment
I44.4,left_anterior_fascicular_block,ecg,echocardiogram(if_structural_disease_suspected);holter_monitor(if_syncope);stress_test,coronary_angiogram(unless_ischemia_suspected);ep_study(unless_symptoms),4,general,Common ecg finding; axis deviation
I44.5,left_posterior_fascicular_block,ecg;echocardiogram,stress_test(rule_out_ischemia);holter_monitor,ct_brain,4,moph_thailand_cardiology,Rare; implies significant conducting system disease
I44.7,left_bundle_branch_block_unspecified,ecg;echocardiogram,stress_test_nuclear(exercise_ecg_uninterpretable);ct_coronary(if_low_risk_cad),standard_exercise_stress_ecg,4,moph_thailand_cardiology,New LBBB may be STEMI equivalent in appropriate context
I45.3,trifascicular_block,ecg;holter_monitor;echocardiogram,ep_study(if_syncope);pacemaker_evaluation;electrolytes,mri_brain,5,moph_thailand_cardiology,High risk of complete heart block
I45.4,nonspecific_intraventricular_block,ecg;echocardiogram;electrolytes,stress_test(if_ischemia_risk);potassium_check,liver_biopsy,4,general,QRS widening not fitting LBBB/RBBB pattern
I45.5,other_specified_heart_block,ecg;holter_monitor,lyme_serology(if_endemic);genetic_testing(if_familial_suspected);echocardiogram,colonoscopy,5,general,Includes sinoatrial block etc.
I45.8,other_specified_conduction_disorders,ecg;holter_monitor,tilt_table_test(if_vasovagal_suspected);loop_recorder,ct_abdomen,4,general,Evaluation of symptoms is key
I45.9,conduction_disorder_unspecified,ecg;electrolytes;tsh,echocardiogram;holter_monitor,pet_scan,5,general,Basic metabolic workup indicated
I46.0,cardiac_arrest_with_successful_resuscitation,ecg;troponin;electrolytes;blood_gas;chest_xray;echocardiogram,coronary_angiogram(if_stemi_or_unclear);ct_brain(rule_out_neuro_cause);ct_pulmonary_angiogram(rule_out_pe),outpatient_screening_tests,9,moph_thailand_cardiology,Target temperature management protocol labs
I47.0,re_entry_ventricular_arrhythmia,ecg;electrolytes;echocardiogram,ep_study(ablation_planning);cardiac_mri(rule_out_arvc);genetic_testing,spirometry,6,moph_thailand_cardiology,Specialist arrhythmia management
I47.9,paroxysmal_tachycardia_unspecified,ecg;holter_monitor;tsh;electrolytes,echocardiogram;adenosine_challenge(if_svt_captured);event_recorder,lumbar_puncture,6,general,Capture rhythm during symptoms
I49.1,atrial_premature_depolarization,ecg;electrolytes,holter_monitor(if_burden_high);echocardiogram(structural_check);tsh,coronary_angiogram;ct_head,5,general,Benign in most cases; check triggers
I49.3,ventricular_premature_depolarization,ecg;electrolytes;echocardiogram,holter_monitor(quantify_burden);stress_test(if_exercise_induced);cardiac_mri(if_frequent_normal_echo),eeg,6,moph_thailand_cardiology,Burden >10% may cause cardiomyopathy
I51.0,cardiac_septal_defect_acquired,echocardiogram;chest_xray;ecg;troponin,transesophageal_echo;cardiac_catheterization(shunt_calculation);intra_aortic_balloon_pump_prep,colonoscopy,7,moph_thailand_cardiology,Usually complication of acute MI (VSD)
I51.3,intracardiac_thrombosis,echocardiogram;coagulation_panel;cbc,ct_chest_angiogram;mri_heart;thrombophilia_screen;transesophageal_echo,mammogram,7,moph_thailand_cardiology,Risk of systemic embolization
I51.4,myocarditis_unspecified,ecg;troponin;esr;crp;echocardiogram,viral_panel;cardiac_mri(lake_louise_criteria);endomyocardial_biopsy,ct_colonography,7,moph_thailand_cardiology,Inflammatory cardiomyopathy workup
I51.5,myocardial_degeneration,echocardiogram;ecg;b_natriuretic_peptide,iron_studies(hemochromatosis);amyloid_biopsy;cardiac_mri,iv_pyelogram,6,general,Rule out infiltrative diseases
I60.1,subarachnoid_hemorrhage_middle_cerebral_artery,ct_brain_non_contrast;ct_angiogram_brain;cbc;coagulation_panel;electrolytes,digital_subtraction_angiography(treatment_planning);lumbar_puncture(if_ct_negative_high_suspicion);transcranial_doppler,mri_spine,8,moph_thailand_neurology,Monitor for vasospasm and hydrocephalus
I60.2,subarachnoid_hemorrhage_anterior_communicating_artery,ct_brain_non_contrast;ct_angiogram_brain,transcranial_doppler(vasospasm_monitoring);dsa,cardiac_stress_test,5,moph_thailand_neurology,Common site for aneurysm rupture
I61.0,intracerebral_hemorrhage_hemisphere_subcortical,ct_brain_non_contrast;coagulation_panel;cbc;electrolytes;blood_glucose,mri_brain(underlying_lesion);ct_angiogram_spot_sign(expansion_risk);toxicology_screen,lumbar_puncture(contraindicated_if_mass_effect),7,moph_thailand_neurology,Strict BP control indicated
J12.0,adenoviral_pneumonia,chest_xray;cbc;sputum_viral_pcr,ct_chest(if_severe_consolidation_persists);abg(if_hypoxia_suspected);crp(inflammatory_monitoring),blood_culture(unless_bacterial_superinfection_suspected);mri_chest,6,moph_thailand_general,Adenovirus can cause severe necrotizing pneumonia; monitor for sequelae
J12.2,parainfluenza_pneumonia,chest_xray;cbc;nasopharyngeal_swab_pcr,sputum_culture(if_secondary_bacterial_suspicion);electrolytes(if_dehydrated);abg(if_respiratory_distress),bronchoscopy(unless_diagnosis_unclear_in_immunocompromised);ct_abdomen,6,moph_thailand_general,Common in children; supportive care primarily
J12.3,human_metapneumovirus_pneumonia,chest_xray;respiratory_viral_panel;cbc,procalcitonin(differentiate_bacterial);abg(if_respiratory_distress);blood_culture(if_sepsis_signs),sputum_afb(unless_tb_risk_factors);d_dimer(unless_pe_suspected),6,general,Clinically similar to RSV; consider in elderly exacerbations
J12.8,other_viral_pneumonia,chest_xray;cbc;viral_panel_multiplex,bronchoscopy(immunocompromised_host);ferritin(if_hyperinflammatory_suspected);lactate(if_shock_signs),routine_ct_chest;tumor_markers,7,general,Includes less common viruses; rule out influenza first
J15.3,streptococcus_group_b_pneumonia,chest_xray;sputum_culture;blood_culture;cbc,pleural_fluid_analysis(if_effusion_present);abg(if_spo2_low);renal_function(if_sepsis),viral_pcr(if_bacterial_confirmed);ct_brain,7,moph_thailand_general,High risk in neonates and elderly diabetics
J15.4,other_streptococcal_pneumonia,chest_xray;sputum_culture;cbc,ct_chest(if_complications_suspected);crp(monitoring_response);antigen_urine_test(if_available),mri_thorax;thyroid_function,6,general,"Non-pneumococcal, non-GBS streptococci"
J15.5,escherichia_coli_pneumonia,chest_xray;sputum_culture;blood_culture;cbc,abg(if_sepsis_signs);lactate(if_hypoperfusion);renal_function(antibiotic_dosing),respiratory_viral_panel(if_bacteremia_confirmed);spirometry,7,moph_thailand_general,Common cause of HAP or aspiration pneumonia
J15.6,other_gram_negative_pneumonia,chest_xray;sputum_gram_stain_culture;cbc;blood_culture,ct_chest(check_cavitation);abg(if_hypoxic);liver_function_test(sepsis_evaluation),cold_agglutinins;throat_swab_strep,7,who_guidelines,"Includes Serratia, Proteus; check antibiotic sensitivity carefully"
J15.8,other_bacterial_pneumonia,chest_xray;sputum_culture;cbc,bronchoscopy(if_treatment_failure);procalcitonin(guide_antibiotics);ultrasound_chest(effusion_check),autoimmune_panel;mri_spine,7,general,Specified bacteria not elsewhere classified
J15.9,bacterial_pneumonia_unspecified,chest_xray;cbc;sputum_culture,blood_culture(if_fever_spike);mycoplasma_igm(if_atypical_features);urine_antigen_legionella(if_severe),bone_scan;eeg,7,moph_thailand_general,Empiric treatment based on CAP/HAP guidelines usually initiated
J16.8,pneumonia_other_specified_organisms,chest_xray;sputum_culture;cbc,fungal_culture(if_suspicious_history);ct_chest(persistent_infiltrates);serology_specific(if_indicated),routine_coagulation;amylase,6,general,Includes Q fever or other rare zoonoses if specified
J17.0,pneumonia_in_bacterial_diseases_classified_elsewhere,chest_xray;sputum_culture;cbc,bordetella_pcr(if_pertussis_suspected);abg(severe_dyspnea);blood_culture(typhoid_suspicion),ct_head;joint_aspiration,7,moph_thailand_general,Secondary to diseases like Whooping Cough or Typhoid
J17.1,pneumonia_in_viral_diseases_classified_elsewhere,chest_xray;viral_specific_test;cbc,sputum_culture(superinfection_rule_out);crp;ferritin(measles_complication),fungal_blood_culture;ana_profile,6,general,"e.g., Measles pneumonia, Varicella pneumonia"
J17.8,pneumonia_in_other_diseases_classified_elsewhere,chest_xray;cbc;underlying_disease_markers,diagnostic_thoracentesis(if_pleural_fluid);rheumatoid_factor(if_rheumatoid_lung);sputum_cytology,routine_stool_exam;ivp,6,general,Pneumonia associated with systemic diseases
J20.0,acute_bronchitis_mycoplasma,chest_xray;mycoplasma_serology;cbc,cold_agglutinins(hemolysis_check);sputum_pcr(rapid_diagnosis);spirometry(if_bronchospasm),blood_culture(low_yield);ct_chest_routine,6,moph_thailand_general,Walking pneumonia presentation; macrolides often indicated
J20.1,acute_bronchitis_h_influenzae,sputum_culture;cbc,chest_xray(exclude_pneumonia);spirometry(if_wheezing_persists);crp(severity_check),viral_panel_routine;mri_chest,5,general,Common in smokers or COPD exacerbations
J20.2,acute_bronchitis_streptococcus,sputum_culture;cbc,chest_xray(if_high_fever_or_crackles);aso_titer(post_strep_sequelae_risk);procalcitonin,ct_sinuses;lumbar_puncture,5,general,Distinguish from pneumonia clinically
J20.3,acute_bronchitis_coxsackievirus,cbc;clinical_exam,chest_xray(if_abnormal_sounds);viral_pcr_stool_or_throat(epidemiology);troponin(if_myocarditis_concern),sputum_bacterial_culture;antibiotics,5,general,Self-limiting; watch for cardiac involvement (rare)
J20.4,acute_bronchitis_parainfluenza,cbc;clinical_exam,chest_xray(rule_out_pneumonia);nasopharyngeal_swab_antigen;nebulizer_response_test,ct_neck;thyroid_ultrasound,5,general,Croup-like symptoms may coexist
J20.5,acute_bronchitis_rsv,rsv_antigen_test;cbc,chest_xray(if_hypoxia);abg(severe_distress);procalcitonin(rule_out_bacterial),routine_antibiotics;spirometry(acute_phase),5,moph_thailand_general,Highly contagious; isolation precautions
J20.6,acute_bronchitis_rhinovirus,clinical_exam,chest_xray(persistent_cough);cbc(rule_out_bacterial_superinfection);spirometry(asthma_trigger),viral_pcr_routine;ct_chest,4,general,Common cold virus causing lower tract symptoms
J20.7,acute_bronchitis_echovirus,clinical_exam;cbc,chest_xray(abnormal_lung_sounds);viral_culture(outbreak_investigation),bacterial_antigen_tests;echocardiogram,4,general,Supportive care usually sufficient
J20.8,acute_bronchitis_other_specified,cbc;sputum_culture,chest_xray;procalcitonin;pcr_bordetella(pertussis_suspicion),bronchoscopy;pet_scan,5,general,Includes Chlamydia pneumoniae or Bordetella
J21.0,acute_bronchiolitis_rsv,rsv_test;pulse_oximetry,chest_xray(diagnosis_uncertainty);blood_gas(respiratory_failure);cbc;electrolytes(hydration_status),routine_antibiotics;bronchodilators(if_no_response),6,moph_thailand_pediatric,Leading cause of hospitalization in infants
J21.1,acute_bronchiolitis_hmpv,viral_panel;pulse_oximetry,chest_xray(if_severe_retractions);blood_culture(sepsis_rule_out);nasopharyngeal_aspirate,ct_chest;sputum_culture(infants),5,general,Clinically indistinguishable from RSV
J21.8,acute_bronchiolitis_other,cbc;pulse_oximetry,chest_xray;influenza_test;abg(if_co2_retention_suspected),routine_corticosteroids;chest_physiotherapy(acute),5,general,Adenovirus or Influenza driven bronchiolitis
J01.0,acute_maxillary_sinusitis,clinical_exam;transillumination_test,ct_sinuses(chronic_refractory);sinus_aspirate_culture(immunocompromised);xray_paranasal_sinuses,mri_brain;nasal_swab_routine,4,moph_thailand_general,Viral etiology most common; antibiotics only if bacterial signs
J01.1,acute_frontal_sinusitis,clinical_exam,ct_sinuses(risk_of_intracranial_spread);cbc;neurological_exam(if_headache_severe),lumbar_puncture(unless_meningeal_signs);eeg,4,general,Risk of Potts Puffy Tumor
J01.2,acute_ethmoidal_sinusitis,clinical_exam,ct_sinuses(orbital_complications);vision_test;cbc,plain_sinus_xray(low_sensitivity);audiogram,4,general,Monitor for orbital cellulitis
J01.3,acute_sphenoidal_sinusitis,clinical_exam,ct_sinuses(severe_vertex_headache);mri_brain(cavernous_sinus_concern);nasal_endoscopy,dental_xray;chest_xray,4,general,Rare but dangerous due to proximity to cavernous sinus
J01.4,acute_pansinusitis,clinical_exam;nasal_endoscopy,ct_sinuses;cbc;blood_culture(systemic_signs);esr,biopsy_routine;allergy_testing_acute,6,general,Involvement of all sinus cavities; rule out immune deficiency
J04.1,acute_tracheitis,lateral_neck_xray;cbc,laryngoscopy(airway_assessment);sputum_culture;blood_culture(if_high_fever),barium_swallow;ct_chest,5,moph_thailand_pediatric,Bacterial superinfection of croup; airway emergency potential
J04.2,acute_laryngotracheitis,clinical_exam,neck_xray(steeple_sign);nasopharyngeal_swab;pulse_oximetry,ct_neck_routine;spirometry,4,general,Classic Croup; steroid treatment usually effective
J62.0,pneumoconiosis_talc_dust,chest_xray;spirometry;dlco,hrct_chest(fibrosis_detail);bronchoalveolar_lavage(birefringent_particles);polarizing_microscopy,open_lung_biopsy(if_history_clear);pet_scan,6,occupational_health,Talcosis; seen in mining or IV drug users (filler)
J63.0,aluminosis_lung,chest_xray;spirometry,serum_aluminum;ct_chest;sputum_culture(secondary_infection),bone_density;liver_biopsy,5,occupational_health,Aluminum powder exposure
J63.1,bauxite_fibrosis_lung,chest_xray;lung_function_test_complete,abg(exertional_dyspnea);ct_chest;cardiopulmonary_exercise_test,d_dimer;thyroid_scan,5,occupational_health,Shaver's disease; aluminum smelting
J63.3,graphite_fibrosis_lung,chest_xray;spirometry,sputum_cytology;lung_biopsy(exclude_malignancy);ct_chest,serum_tumor_markers_routine;mri_chest,5,occupational_health,Similar to coal workers pneumoconiosis
J63.4,berylliosis,beryllium_lymphocyte_proliferation_test;chest_xray,hrct_chest;bronchoscopy_biopsy(granulomas);spirometry,ace_level(can_mimic_sarcoidosis_but_less_specific);mantoux_test,6,occupational_health,Chronic Beryllium Disease mimics Sarcoidosis
J63.5,stannosis,chest_xray,hrct_chest(confirmatory);spirometry(usually_normal);renal_function_test,lung_biopsy(benign_course);pet_scan,4,occupational_health,Tin oxide exposure; dense opacities but minimal functional impairment
J63.8,pneumoconiosis_other_inorganic_dusts,chest_xray;occupational_history,hrct_chest;lung_function_test;bronchoscopy,viral_serology;abdominal_ultrasound,5,occupational_health,Diagnosis of exclusion for specific agents
J65,pneumoconiosis_associated_with_tuberculosis,chest_xray;sputum_afb_smear;sputum_culture_tb,genexpert_mtb_rif;chest_ct(cavity_assessment);liver_function_test(baseline_for_rx),bronchoscopy(if_sputum_positive);spirometry(active_infection_risk),7,moph_thailand_tb,Silico-tuberculosis is a common presentation
J66.1,byssinosis,spirometry_pre_post_shift;chest_xray,methacholine_challenge;histamine_challenge;skin_prick_test,hrct_chest_routine;lung_biopsy,5,occupational_health,Cotton dust exposure; symptoms worse on first day of work week
J66.2,cannabinosis,spirometry;chest_xray,skin_prick_test(hemp_dust);abg(advanced_disease);dlco,ct_pulmonary_angiogram;echocardiogram,5,occupational_health,Hemp worker's disease
J67.2,bird_fanciers_lung,chest_xray;precipitin_antibodies_avian;spirometry,hrct_chest(ground_glass);bronchoalveolar_lavage(lymphocytosis);inhalation_challenge_test,sweat_chloride;alpha1_antitrypsin,7,general,Hypersensitivity pneumonitis from avian proteins
J67.3,suberosis,chest_xray;spirometry,specific_igg_antibodies_cork;hrct_chest;dlco,ct_abdomen;colonoscopy,5,occupational_health,Cork worker's lung (moldy cork)
J67.4,maltworkers_lung,chest_xray;spirometry,aspergillus_precipitins;lung_diffusion_capacity;hrct_chest,legionella_antigen;mycoplasma_serology,5,occupational_health,Aspergillus clavatus exposure
J67.5,mushroom_workers_lung,chest_xray;spirometry,thermophilic_actinomycetes_panel;hrct_chest;specific_igg,d_dimer;troponin,5,occupational_health,Hypersensitivity to compost actinomycetes
